wkt_geom	id	T_00to10	T_78to14	P_78to14	P_00to10
Point (-98.95648232115686938 31.44716750617599743)	1898	0.00577	0.01848	2.6962	-13.2562
Point (-113.70766593782559539 32.71646766943433704)	1897	0.01894	0.0534	-0.54875	3.6424
Point (-117.25793161589152191 47.47200483243371139)	1896	-0.05532	0.03452	2.25648	9.1304
Point (-103.01381816569129057 39.86480821777343664)	1903	-0.04712	0.01483	2.15241	7.6528
Point (-105.42068440120714001 43.9734291506306505)	1902	-0.03597	0.0367	0.50953	-0.5652
Point (-81.35115290231176743 37.20137130854269714)	1901	-0.00027	0.02114	2.94742	18.19661
Point (-93.82607848396592942 41.21329548212797533)	1900	-0.06895	0.02015	2.09653	24.01341
Point (-116.19440516231748006 40.10594371807830072)	1875	-0.0325	0.02746	-0.14296	-2.0726
Point (-97.64589497879113367 39.22497976566165789)	1874	-0.12605	0.01697	1.81081	10.828
Point (-74.77563942982615686 42.26543939645290493)	1873	-0.00584	0.02502	-2.17499	21.08359
Point (-123.55102005621697003 43.7230663434266873)	1872	-0.0471	0.01916	3.97229	7.17501
Point (-111.48177651915614206 47.65090216773837994)	1879	-0.04179	0.02836	-0.32604	2.2304
Point (-74.96462725306221841 40.46541512246979977)	1878	0.01614	0.02529	-1.39753	16.05799
Point (-107.92312839627638255 40.14261961072388374)	1877	-0.03847	0.03248	1.05748	1.8772
Point (-75.12878961958062973 40.86813671889136401)	1876	0.00105	0.02677	-0.61509	28.64921
Point (-94.68150215283181126 32.30799440218585517)	1883	-0.00603	0.0212	6.63559	-16.3228
Point (-99.38751616893654273 40.57756519097104331)	1882	-0.07176	0.01581	-0.15764	15.229
Point (-101.34140620901386853 36.74925733593534005)	1881	-0.01076	0.01693	0.74252	-7.667
Point (-90.54737395311214243 39.05543143711564369)	1880	-0.02808	0.03523	6.06347	6.8438
Point (-110.97734871803177725 37.07464110546536062)	1887	-0.03591	0.02506	-0.24431	-0.592
Point (-100.51813936290193396 35.71865942119007542)	1886	0.02923	0.02008	3.13772	-5.6546
Point (-78.46001832200795434 34.45954740890980617)	1885	-0.0455	0.02378	5.90225	-10.74879
Point (-93.9364059785763601 31.5308290099575288)	1884	0.02389	0.03582	9.54095	-5.5932
