wkt_geom	fid	id	T_78to14	P_78to14
Point (-94.0796653000000731 38.23224799999999846)	252	251	0.00804	213.18915
Point (-94.0796653000000731 38.19058129999999807)	276	275	0.00851	228.99341
Point (-94.03799860000007982 38.23224799999999846)	253	252	0.00978	207.53748
Point (-94.03799860000007982 38.19058129999999807)	277	276	0.01026	224.10944
Point (-94.12133200000006639 38.23224799999999846)	251	250	0.01043	228.74182
Point (-94.12133200000006639 38.19058129999999807)	275	274	0.01076	251.52063
Point (-94.53799899999999923 37.89891439999999534)	433	432	0.01156	254.93256
Point (-94.53799899999999923 37.94058109999999573)	409	408	0.0118	244.64679
Point (-94.53799899999999923 37.85724769999999495)	457	456	0.01217	272.04791
Point (-94.49633230000000594 37.89891439999999534)	434	433	0.01229	265.45282
Point (-94.53799899999999923 37.98224779999999612)	385	384	0.01232	258.37756
Point (-94.49633230000000594 37.94058109999999573)	410	409	0.01245	252.86224
Point (-94.45466560000001266 37.89891439999999534)	435	434	0.01257	267.35468
Point (-94.0796653000000731 38.27391469999999885)	228	227	0.01271	208.42578
Point (-94.45466560000001266 37.94058109999999573)	411	410	0.01278	252.31622
Point (-94.49633230000000594 37.85724769999999495)	458	457	0.01279	280.85339
Point (-94.49633230000000594 37.98224779999999612)	386	385	0.01305	263.91858
Point (-94.53799899999999923 38.02391449999999651)	361	360	0.01309	257.71436
Point (-94.41299890000001938 37.89891439999999534)	436	435	0.01312	262.92596
Point (-94.0796653000000731 38.14891459999999768)	300	299	0.01313	270.55652
Point (-94.49633230000000594 37.81558099999999456)	482	481	0.01317	281.20105
Point (-94.45466560000001266 37.85724769999999495)	459	458	0.01323	282.91742
Point (-94.41299890000001938 37.94058109999999573)	412	411	0.01342	256.64844
Point (-93.99633190000008653 38.23224799999999846)	254	253	0.01357	224.84241
Point (-94.45466560000001266 37.98224779999999612)	387	386	0.01362	263.15216
Point (-94.03799860000007982 38.27391469999999885)	229	228	0.01371	205.33698
Point (-93.99633190000008653 38.19058129999999807)	278	277	0.01382	250.90259
Point (-94.41299890000001938 37.85724769999999495)	460	459	0.01384	268.08026
Point (-94.03799860000007982 38.14891459999999768)	301	300	0.01384	264.63385
Point (-94.53799899999999923 38.0655811999999969)	337	336	0.01385	233.58801
Point (-94.49633230000000594 38.02391449999999651)	362	361	0.01391	267.09351
Point (-94.45466560000001266 37.81558099999999456)	483	482	0.01395	288.38306
Point (-94.12133200000006639 38.14891459999999768)	299	298	0.014	284.5722
Point (-94.12133200000006639 38.27391469999999885)	227	226	0.01414	212.84363
Point (-94.37133220000002609 37.89891439999999534)	437	436	0.01415	256.30463
Point (-94.37133220000002609 37.94058109999999573)	413	412	0.01422	261.7218
Point (-94.41299890000001938 37.98224779999999612)	388	387	0.01428	262.8277
Point (-94.45466560000001266 37.77391429999999417)	507	506	0.01446	291.87097
Point (-94.45466560000001266 38.02391449999999651)	363	362	0.01447	265.70343
Point (-94.37133220000002609 37.85724769999999495)	461	460	0.01451	255.92426
Point (-94.49633230000000594 38.0655811999999969)	338	337	0.01471	237.26862
Point (-94.16299870000005967 38.23224799999999846)	250	249	0.01479	233.14441
Point (-94.41299890000001938 37.81558099999999456)	484	483	0.01481	266.55963
Point (-94.16299870000005967 38.19058129999999807)	274	273	0.01481	248.80237
Point (-94.53799899999999923 38.10724789999999729)	313	312	0.01487	209.56696
Point (-94.37133220000002609 37.98224779999999612)	389	388	0.0149	266.00757
Point (-94.41299890000001938 38.02391449999999651)	364	363	0.01524	261.43646
Point (-94.37133220000002609 37.81558099999999456)	485	484	0.01529	256.77179
Point (-94.32966550000003281 37.89891439999999534)	438	437	0.0153	260.77527
Point (-94.45466560000001266 38.0655811999999969)	339	338	0.01538	240.24225
Point (-94.32966550000003281 37.85724769999999495)	462	461	0.01547	266.08881
Point (-94.41299890000001938 37.77391429999999417)	508	507	0.01556	282.76288
Point (-94.32966550000003281 37.94058109999999573)	414	413	0.01565	265.71478
Point (-94.37133220000002609 38.02391449999999651)	365	364	0.0157	260.32617
Point (-93.99633190000008653 38.14891459999999768)	302	301	0.01577	271.66583
