wkt_geom	fid	id	T_78to14	P_78to14
Point (-75.36333291000005374 40.34166626000004641)	908	907	-1.00E-05	-45.54749
Point (-75.36333291000005374 40.38333293000004431)	868	867	0.002	-43.98047
Point (-75.32166624000005584 40.34166626000004641)	909	908	0.00272	-38.46252
Point (-75.32166624000005584 40.38333293000004431)	869	868	0.00298	-21.34094
Point (-75.40499958000005165 40.34166626000004641)	907	906	0.00573	-59.79163
Point (-75.40499958000005165 40.38333293000004431)	867	866	0.00639	-64.88147
Point (-75.27999957000005793 40.38333293000004431)	870	869	0.00902	-23.27637
Point (-75.44666625000004956 40.34166626000004641)	906	905	0.00939	-62.6676
Point (-75.44666625000004956 40.38333293000004431)	866	865	0.00957	-64.09607
Point (-75.48833292000004747 40.34166626000004641)	905	904	0.00963	-59.26611
Point (-75.27999957000005793 40.34166626000004641)	910	909	0.00977	-49.86743
Point (-75.48833292000004747 40.38333293000004431)	865	864	0.01035	-51.89563
Point (-75.32166624000005584 40.42499960000004222)	829	828	0.01037	-32.05603
Point (-75.52999959000004537 40.34166626000004641)	904	903	0.01038	-60.89368
Point (-75.36333291000005374 40.2999995900000485)	948	947	0.01047	-50.33521
Point (-75.36333291000005374 40.42499960000004222)	828	827	0.01104	-44.19263
Point (-75.52999959000004537 40.38333293000004431)	864	863	0.0116	-41.09082
Point (-75.32166624000005584 40.2999995900000485)	949	948	0.01162	-54.73633
Point (-75.40499958000005165 40.2999995900000485)	947	946	0.01198	-49.33118
Point (-75.27999957000005793 40.42499960000004222)	830	829	0.01231	-25.16931
Point (-75.44666625000004956 40.2999995900000485)	946	945	0.01331	-47.72998
Point (-75.40499958000005165 40.42499960000004222)	827	826	0.01349	-49.48694
Point (-75.23833290000006002 40.38333293000004431)	871	870	0.01387	-24.98132
Point (-75.57166626000004328 40.34166626000004641)	903	902	0.0141	-56.05371
Point (-75.48833292000004747 40.2999995900000485)	945	944	0.01413	-53.59863
Point (-75.27999957000005793 40.2999995900000485)	950	949	0.01426	-65.31396
Point (-75.44666625000004956 40.42499960000004222)	826	825	0.01471	-44.69922
Point (-75.23833290000006002 40.42499960000004222)	831	830	0.01487	-22.10486
Point (-74.94666621000007467 40.13333291000005687)	1118	1117	0.01504	-61.75342
Point (-75.52999959000004537 40.2999995900000485)	944	943	0.0151	-58.88464
Point (-75.23833290000006002 40.34166626000004641)	911	910	0.01542	-53.78979
Point (-75.48833292000004747 40.42499960000004222)	825	824	0.01578	-27.04492
Point (-75.57166626000004328 40.38333293000004431)	863	862	0.01589	-43.14014
Point (-75.27999957000005793 40.46666627000004013)	790	789	0.0159	-42.89331
Point (-75.32166624000005584 40.46666627000004013)	789	788	0.01597	-46.4325
Point (-74.90499954000007676 40.09166624000005896)	1159	1158	0.01613	-68.62915
Point (-75.44666625000004956 40.25833292000005059)	986	985	0.01614	-12.80054
Point (-74.94666621000007467 40.17499958000005478)	1078	1077	0.01624	-58.71631
Point (-74.90499954000007676 40.13333291000005687)	1119	1118	0.0163	-65.98926
Point (-75.36333291000005374 40.46666627000004013)	788	787	0.01647	-38.99158
