param,mean,median,1.000_CI_LB,1.000_CI_UB
hi_param_0,0.940855,0.941291,0.925497,0.959075
hi_param_1,0.497079,0.496951,0.485847,0.510364
hi_param_2,0.170497,0.169700,0.101380,0.221775
hi_param_3,0.448069,0.445830,0.429897,0.461222
hi_param_4,0.053900,0.065581,0.010170,0.103071
hi_param_5,0.496939,0.496620,0.488340,0.505365
hi_param_6,0.194201,0.199987,0.096894,0.256568
hi_param_7,0.134949,0.134113,0.088094,0.185475
hi_param_8,0.487797,0.487252,0.476249,0.498365
hi_param_9,0.448601,0.449006,0.427937,0.465472
hi_param_10,0.854867,0.855699,0.829365,0.862368
hi_param_11,0.496393,0.496108,0.484541,0.512012
hi_param_12,0.500127,0.499613,0.489088,0.518226
hi_param_13,0.510028,0.508675,0.497817,0.534297
hi_param_14,0.443383,0.443514,0.416392,0.460535
hi_param_15,0.966381,0.966346,0.939657,0.978161
hi_param_16,0.498726,0.498321,0.486316,0.516273
hi_param_17,0.922323,0.923619,0.881301,0.953184
hi_param_18,0.863753,0.859812,0.826701,0.898076
hi_param_19,0.501033,0.500428,0.493099,0.518364
hi_param_20,0.505799,0.503881,0.495985,0.523993
hi_param_21,0.498046,0.498008,0.487185,0.514527
hi_param_22,0.498568,0.498430,0.489989,0.515028
hi_param_23,0.810336,0.808554,0.798744,0.822805
hi_param_24,0.729033,0.733403,0.689582,0.759794
hi_param_25,0.496836,0.496812,0.484866,0.515543
hi_param_26,0.041742,0.018819,0.010335,0.139991
hi_param_27,0.546278,0.541303,0.529311,0.587073
hi_param_28,0.501468,0.501107,0.493182,0.523506
hi_param_29,0.558896,0.554520,0.540935,0.593311
hi_param_30,0.502442,0.502750,0.490594,0.519178
hi_param_31,0.584693,0.575842,0.561119,0.656337
hi_param_32,0.435514,0.433128,0.404743,0.455774
hi_param_33,0.245252,0.246348,0.189297,0.285790
hi_param_34,0.498509,0.497975,0.488958,0.513299
hi_param_35,0.009349,0.007411,0.003305,0.026659
hi_param_36,0.503530,0.503490,0.489284,0.516077
hi_param_37,0.506521,0.506012,0.497086,0.524836
hi_param_38,0.503752,0.503587,0.493887,0.515773
hi_param_39,0.501757,0.500844,0.492643,0.526292
hi_param_40,0.130947,0.135156,0.065024,0.181889
hi_param_41,0.496697,0.496884,0.487042,0.517867
hi_param_42,0.146713,0.147602,0.071890,0.208448
hi_param_43,0.177481,0.177684,0.128598,0.216680
hi_param_44,0.499648,0.500295,0.486396,0.516329
hi_param_45,0.495438,0.495377,0.482696,0.505806
hi_param_46,0.446591,0.447703,0.425224,0.463284
hi_param_47,0.506119,0.505651,0.494699,0.524066
hi_param_48,0.497821,0.497267,0.488346,0.518300
hi_param_49,0.050498,0.031601,0.014351,0.133418
hi_param_50,0.551453,0.548326,0.537331,0.578741
hi_param_51,0.140372,0.142506,0.060954,0.199278
hi_param_52,0.499332,0.498741,0.486648,0.515531
hi_param_53,0.453643,0.453936,0.435941,0.469075
hi_param_54,0.114214,0.116794,0.043699,0.169673
hi_param_55,0.044730,0.023654,0.008506,0.131860
