param,mean,median,1.000_CI_LB,1.000_CI_UB
zeta-quantile_param_0,0.861233,0.893938,0.522926,0.986025
zeta-quantile_param_1,0.794618,0.814713,0.497155,0.980705
zeta-quantile_param_2,0.088880,0.097084,0.019682,0.173215
zeta-quantile_param_3,0.485100,0.505118,0.306658,0.670548
zeta-quantile_param_4,0.853701,0.870256,0.583794,0.992430
zeta-quantile_param_5,0.342493,0.320431,0.131272,0.593711
zeta-quantile_param_6,0.051586,0.044787,0.008819,0.140604
zeta-quantile_param_7,0.624887,0.631339,0.286105,0.980976
zeta-quantile_param_8,0.491741,0.470306,0.224879,0.889282
zeta-quantile_param_9,0.040400,0.027942,0.001478,0.215570
zeta-quantile_param_10,0.115619,0.066677,0.000479,0.584267
zeta-quantile_param_11,0.535583,0.473381,0.241430,0.883688
zeta-quantile_param_12,0.456719,0.430974,0.238112,0.875696
zeta-quantile_param_13,0.673057,0.671080,0.313744,0.954279
zeta-quantile_param_14,0.672667,0.696123,0.400213,0.912134
zeta-quantile_param_15,0.231106,0.226729,0.061065,0.407663
zeta-quantile_param_16,0.649353,0.650800,0.402611,0.881135
zeta-quantile_param_17,0.236392,0.218888,0.077988,0.424749
zeta-quantile_param_18,0.689645,0.729736,0.357380,0.887591
zeta-quantile_param_19,0.961506,0.997905,0.735669,0.999859
zeta-quantile_param_20,0.552029,0.578983,0.097291,0.888047
zeta-quantile_param_21,0.525015,0.508557,0.240658,0.881798
zeta-quantile_param_22,0.471790,0.471676,0.202818,0.761144
zeta-quantile_param_23,0.189334,0.155818,0.005796,0.588010
zeta-quantile_param_24,0.054217,0.050415,0.002313,0.199396
zeta-quantile_param_25,0.094332,0.090878,0.005833,0.265640
zeta-quantile_param_26,0.191114,0.193010,0.049298,0.348242
zeta-quantile_param_27,0.071513,0.068476,0.015312,0.158031
zeta-quantile_param_28,0.479513,0.447623,0.336177,0.706219
zeta-quantile_param_29,0.515548,0.512268,0.267648,0.776667
zeta-quantile_param_30,0.508630,0.503880,0.281209,0.917641
zeta-quantile_param_31,0.585124,0.566015,0.316423,0.922079
zeta-quantile_param_32,0.309232,0.136752,0.020584,0.948006
zeta-quantile_param_33,0.665262,0.686039,0.315872,0.947004
zeta-quantile_param_34,0.771204,0.829612,0.356202,0.999473
zeta-quantile_param_35,0.706617,0.717679,0.295296,0.971125
zeta-quantile_param_36,0.896018,0.937848,0.527382,0.995605
zeta-quantile_param_37,0.687757,0.736548,0.095559,0.994053
zeta-quantile_param_38,0.758238,0.800750,0.385641,0.957451
zeta-quantile_param_39,0.593328,0.548892,0.333607,0.977327
zeta-quantile_param_40,0.687501,0.659655,0.429464,0.954697
zeta-quantile_param_41,0.186540,0.073384,0.010374,0.644204
zeta-quantile_param_42,0.085690,0.071718,0.004647,0.322731
zeta-quantile_param_43,0.682027,0.721235,0.267963,0.904377
zeta-quantile_param_44,0.756206,0.767835,0.481674,0.940256
zeta-quantile_param_45,0.960019,0.974260,0.657033,0.999666
zeta-quantile_param_46,0.549216,0.550709,0.346700,0.725067
zeta-quantile_param_47,0.139597,0.130686,0.057072,0.273621
zeta-quantile_param_48,0.126883,0.119798,0.012268,0.335088
zeta-quantile_param_49,0.532622,0.519791,0.311907,0.813523
zeta-quantile_param_50,0.719377,0.692824,0.415982,0.990419
zeta-quantile_param_51,0.307925,0.330545,0.024603,0.726496
zeta-quantile_param_52,0.648899,0.654530,0.319197,0.951895
zeta-quantile_param_53,0.105310,0.104931,0.027861,0.222083
zeta-quantile_param_54,0.614802,0.559997,0.413379,0.929073
zeta-quantile_param_55,0.513667,0.493085,0.370423,0.732498
zeta-quantile_param_56,0.509458,0.508150,0.374449,0.713205
zeta-quantile_param_57,0.302738,0.291401,0.117365,0.519875
zeta-quantile_param_58,0.346857,0.375810,0.068455,0.609532
zeta-quantile_param_59,0.086644,0.056873,0.010455,0.469049
zeta-quantile_param_60,0.658457,0.632039,0.363236,0.941115
zeta-quantile_param_61,0.753702,0.780912,0.453839,0.976764
zeta-quantile_param_62,0.273993,0.244621,0.107778,0.530421
zeta-quantile_param_63,0.590218,0.557571,0.348633,0.882350
zeta-quantile_param_64,0.181129,0.182649,0.022449,0.409253
zeta-quantile_param_65,0.707072,0.744560,0.312789,0.909386
zeta-quantile_param_66,0.608467,0.628452,0.371314,0.831912
zeta-quantile_param_67,0.632323,0.632044,0.399119,0.802869
