sample	state	reads_raw	reads_passed_filter	clusters_total	clusters_hidepth	hetero_est	error_est	reads_consens	loci_in_assembly
132041_32562	7	874776	868543	99576	19908	0.008535	0.002665	19511	2769
132042_32561	7	589172	586062	69573	19010	0.00809	0.002518	18672	3033
132043_32565	7	1146352	1141847	54308	18641	0.011029	0.001621	18207	2503
132044_32606	7	615544	610873	74725	17694	0.010497	0.002634	17370	1975
132045_32605	7	797436	790272	96399	19540	0.008538	0.002654	19153	2734
132046_32564	7	629199	616791	82780	18675	0.007961	0.002711	18333	2494
132047_32563	7	668776	662390	82300	18100	0.010981	0.002678	17749	2095
132048_32619	7	520292	511409	71723	12767	0.011071	0.003344	12369	863
132049_32602	7	687303	682173	88212	18087	0.010842	0.002784	17718	1989
132050_32620	7	599716	593302	78281	14408	0.011096	0.003329	13942	1101
132051_32626	7	566080	560915	67860	18356	0.00823	0.002608	17960	2615
132052_32625	7	557941	552846	65818	18111	0.00838	0.002472	17788	2633
132053_32624	7	644927	638396	78452	17940	0.011019	0.002706	17579	1911
132054_32618	7	563808	557675	81154	13291	0.011172	0.003464	12844	1019
132055_32621	7	519049	515340	59506	18229	0.007988	0.002526	17881	2567
132056_32622	7	506782	503948	62687	17834	0.008171	0.002607	17496	2403
132057_32623	7	797349	789465	89636	17406	0.011216	0.003083	16908	1775
132058_32617	7	567884	563171	62820	18134	0.008267	0.002485	17795	2668
132059_32616	7	668333	664013	74323	19310	0.007624	0.00266	18953	2847
132060_32615	7	369723	363497	66571	11243	0.010382	0.00343	10881	770
132061_32612	7	735626	729082	93481	18103	0.010871	0.002755	17751	2157
132062_32611	7	633898	627392	66610	18520	0.007989	0.002485	18174	2793
132063_32614	7	490722	482261	72104	13451	0.010383	0.003204	13115	1190
132064_32613	7	587399	579926	63937	18121	0.008085	0.002453	17789	2838
132065_32601	7	561885	548782	73597	13246	0.011032	0.003407	12871	996
132066_32599	7	833622	824887	93710	19125	0.011154	0.002587	18752	2375
132067_32600	7	632622	627422	70919	18399	0.007961	0.002711	18051	2363
132068_32609	7	693127	686711	89899	18619	0.010767	0.002647	18273	2354
132069_32610	7	788080	784700	47526	17260	0.010317	0.001643	16883	2340
132070_32598	7	782672	775364	104506	21397	0.008796	0.002745	20923	3124
132071_32604	7	462003	456205	68287	12380	0.010781	0.0034	12002	927
132072_32603	7	916841	911670	53845	18807	0.010894	0.001685	18349	2486
132073_32593	7	880203	872456	100814	19263	0.011219	0.002659	18847	2314
132074_32591	7	829845	820026	85854	19198	0.008318	0.002622	18848	2637
132075_32592	7	724865	715669	94892	18708	0.011023	0.002708	18326	2164
132076_32608	7	749031	743402	86218	19747	0.008648	0.002741	19326	2573
132077_32607	7	815701	811858	53219	18810	0.010598	0.00164	18347	2671
132078_32595	7	553829	548385	77476	12999	0.011695	0.003413	12572	961
132079_32596	7	511329	505456	73311	12990	0.010377	0.003305	12623	1255
132080_32594	7	962895	953748	105419	20122	0.008545	0.002614	19699	2779
132081_32576	7	937417	931285	92244	20011	0.008436	0.002625	19627	2712
132082_32577	7	985054	976221	92941	20097	0.008572	0.002595	19688	2656
132083_32572	7	561552	555711	77163	13216	0.01136	0.003273	12827	987
132084_32573	7	3182468	3166873	332697	30263	0.012394	0.003414	27097	4230
132085_32566	7	614593	605321	86386	17819	0.010862	0.00266	17465	1976
132086_32575	7	1064097	1059260	60301	19325	0.010973	0.001647	18817	2634
132087_32556	7	654400	645800	73035	18661	0.008503	0.002666	18308	2383
132088_32559	7	720703	713151	82342	18779	0.008157	0.002699	18439	2431
132089_32560	7	924505	920615	52016	18138	0.010517	0.001751	17721	2293
132090_32586	7	960031	955775	51201	18774	0.010599	0.001626	18327	2599
132091_32585	7	982890	977932	57841	20236	0.010808	0.001658	19729	2868
132092_32553	7	869054	865314	54014	20585	0.009729	0.001593	20128	2968
132093_32568	7	852448	848725	49289	17242	0.010482	0.001626	16852	2266
132094_32555	7	465128	459678	70469	12529	0.010799	0.003316	12159	906
132095_32571	7	940560	935609	52462	17516	0.011786	0.001631	17089	2294
132096_32574	7	728415	724788	51164	18327	0.011079	0.001649	17899	2416
132097_32589	7	2375262	2363130	273842	26515	0.008155	0.003524	24160	3941
132098_32590	7	881900	874886	90649	20269	0.008385	0.002604	19903	2787
132099_32584	7	2188989	2175119	255437	25368	0.008217	0.003292	23390	3994
132100_32587	7	3332843	3316689	346062	31146	0.009549	0.00335	27838	4390
132101_32588	7	863305	856385	102711	17317	0.011439	0.003214	16768	1733
132102_32567	7	2830768	2817539	298825	28651	0.009017	0.003459	25918	4140
132103_32578	7	578261	569579	77970	17800	0.01042	0.002797	17470	1975
132104_32579	7	681286	674622	94604	18537	0.011658	0.002767	18120	2175
132105_32542	7	759060	754218	78533	18807	0.009404	0.002781	18442	2266
132106_32541	7	819427	813861	82616	18662	0.009735	0.002733	18285	2172
132107_32580	7	868304	863866	77344	20037	0.008996	0.002409	19664	3021
132108_32570	7	2366950	2353569	281313	26955	0.008436	0.003356	24706	4202
132109_32569	7	2979852	2965951	302348	29167	0.009126	0.003284	26206	4144
132110_32558	7	610796	605252	78468	17400	0.010738	0.002676	17103	1877
132111_32557	7	656437	650978	78274	14955	0.011158	0.003151	14508	1243
132112_32581	7	576910	569944	80348	12755	0.011486	0.003348	12338	961
132113_32536	7	502713	496359	63492	17461	0.008301	0.002544	17145	2244
132114_32534	7	2828667	2813238	293474	29370	0.009208	0.003429	26595	4219
132115_32543	7	885743	880417	84029	19148	0.009766	0.002656	18774	2207
132116_32537	7	627249	623199	72074	17406	0.009523	0.002896	17065	1868
132117_32583	7	822175	817080	50642	18359	0.010987	0.001699	17873	2408
132118_32582	7	654930	650669	71281	19062	0.008773	0.002506	18720	2721
132119_32554	7	671375	663614	80275	18593	0.008463	0.002781	18247	2335
132120_32545	7	595547	590342	75869	18663	0.009298	0.002582	18250	2753
132121_32546	7	615269	610722	63269	18638	0.008493	0.002494	18309	2583
132122_32538	7	711568	706468	70245	18304	0.009314	0.002722	17934	1990
132123_32551	7	672241	667131	86657	16765	0.010389	0.003261	16321	1980
132124_32552	7	853025	846752	88225	19997	0.008402	0.00281	19618	2840
132125_32548	7	604921	600602	66499	17171	0.009352	0.002793	16844	1824
132126_32547	7	699511	694169	70882	19073	0.00854	0.00253	18702	2754
132127_32549	7	600301	595819	70995	17005	0.009396	0.002806	16685	1779
132128_32550	7	545326	540204	77243	16488	0.009647	0.002868	16139	1854
132129_32540	7	746092	740746	67868	19591	0.008433	0.002461	19235	2985
132130_32535	7	582014	577711	67854	17350	0.008908	0.00283	17003	1861
132131_32597	7	549871	545642	64549	17819	0.008004	0.002527	17520	2589
132132_32539	7	718773	713812	76395	18210	0.009669	0.002875	17834	2061
3474_	7	893929	885918	90782	18960	0.011322	0.001617	18500	2570
6281_	7	758006	754342	47654	17235	0.010522	0.001668	16819	2086
649229_	7	511541	506999	69303	16653	0.010458	0.002427	16340	2012
649230_	7	557402	552106	63842	17422	0.010423	0.002344	17100	2272
649231_	7	505895	498415	73207	17404	0.009035	0.002836	17025	1885
649232_	7	574020	566887	73362	18215	0.010434	0.002301	17853	2515
649233_	7	280350	277394	51540	13649	0.009433	0.002557	13318	1530
649234_	7	690520	684126	81626	18402	0.011117	0.002261	18014	2478
649235_	7	532723	528307	63621	17076	0.008783	0.002764	16752	1746
649236_	7	603270	598758	61497	18193	0.010648	0.002254	17888	2451
649237_	7	632027	624652	92604	18140	0.009378	0.002794	17727	1847
649238_	7	637298	629326	82293	18026	0.008604	0.002646	17717	2172
649239_	7	589621	584550	62196	17000	0.010442	0.002287	16717	2099
649240_	7	593445	588671	66517	17997	0.010452	0.002372	17643	2516
649241_	7	626166	620686	77071	18867	0.010417	0.002549	18505	2836
649246_	7	631096	627095	68833	18583	0.007798	0.002482	18285	2833
649247_	7	490612	486661	66165	17500	0.010113	0.002632	17169	2334
649248_	7	646200	641035	78298	17033	0.009611	0.002848	16686	1856
649249_	7	830496	824254	80466	20101	0.008008	0.00239	19736	3038
649251_	7	702006	697616	68334	18471	0.010994	0.002332	18125	2452
649252_	7	537451	530254	61309	17268	0.009661	0.002314	16989	2345
649253_	7	562340	553740	70057	18640	0.010457	0.002386	18290	2580
649254_	7	633968	627815	72820	18966	0.009185	0.002788	18550	2201
649255_	7	672756	666049	77106	18454	0.009273	0.002728	18099	2167
649256_	7	657929	653487	78768	19471	0.01048	0.002549	19106	3116
649257_	7	8855	5841	4013	47	0.005062	0.004068	43	4
649258_	7	610833	606302	60991	17506	0.010053	0.002328	17209	2360
649259_	7	837663	831767	77738	17723	0.009141	0.002633	17409	2130
649278_	7	621293	617091	64014	18576	0.007868	0.002417	18281	2761
649279_	7	637744	633847	64337	18853	0.007579	0.002393	18508	2754
649313_	7	526951	521605	66086	18654	0.007613	0.002466	18290	2771
649314_	7	509476	505479	61392	17357	0.011227	0.002416	16974	2293
649315_	7	545408	540604	72332	18022	0.009864	0.002835	17614	2005
649316_	7	612835	608000	75120	18684	0.010804	0.002702	18360	2740
649317_	7	536906	532040	72393	16701	0.008843	0.002855	16375	1879
649318_	7	529001	521359	67356	18171	0.010261	0.002675	17816	2561
649319_	7	641113	636572	67639	18563	0.007341	0.002388	18251	2858
649320_	7	713476	707434	81554	19837	0.01017	0.002482	19418	3196
649321_	7	636862	631918	77515	19044	0.009089	0.00287	18629	2343
649322_	7	457994	454715	66430	17745	0.009057	0.002996	17362	1861
649323_	7	616014	611607	72549	18651	0.00958	0.002822	18264	2038
649324_	7	507113	500927	70568	18039	0.010533	0.002678	17683	2285
649325_	7	578757	573315	74347	18170	0.009001	0.002849	17800	2071
649326_	7	516855	512670	63594	18067	0.00756	0.002464	17765	2681
649327_	7	650649	646100	73120	18539	0.010471	0.002468	18189	2697
649328_	7	647665	643149	76583	17082	0.009191	0.002807	16740	1940
