Checked	Common_name	Code	Date_received	Location.x	Region	Ocean	Cause_of_death	What	Info_sent	Extracted	Info_requested	Other_info	Archiving_info	scrubbed_uoa_code	reconciled_alternate_code	UoA_Code	Species_subspecies	LatitudeS_Northing	LongitudeE_Easting	Tissue_Type	Collected_By	DoC_Agency	TL_m	Age_Class	Sex_observed	Pregnant?	Doc_incident_no	Doc_animal_no	Franz_source_code	Massey_Code	MONZ_code	CETOS_code	Necropsy_file_no_Pathology_no	Genetic_Sex	mtDNA_haplotype	no_microsatellites	MHC_DQA	MHC_DQB	reconciliation_notes	pathology_code	hologenome_region	collection_date_mod	broad_location	review
Yes	Hector's dolphin	Che03NZ05 (H71/03)	NA	Barrytown Beach  (N of Greymouth)	NA	NA	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Massey code: WB05-39 Chh	CHE03NZ05	NA	Che03NZ05	Cephalorhynchus hectori hectori	K31 703 815	NA	beachcast	NA	NA	NA	NA	NA	NA	H71/03	NA	NA	WB03-45 Chh foetus	NA	NA	35349	F	Jb	0	no	no	CHEWC03-01 is either a duplicate, or the mother, of this sample based on matching Location.x and collection_date_mod. This (Che03NZ05) should be considered the 'sample of reference' as it had more information in the DOC_Massey database. Likely foetal tissue	H071	SI West Coast	10-Oct-2003	Barrytown/Punakaiki	Duplicate (primary sample)
Yes	Hector's dolphin	Che03NZ06 (H73/03)	NA	Mikonui mussel bed beach, about 30km south of Hokitika	NA	NA	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Massey code: WB05-12 Chh	CHE03NZ06	NA	Che03NZ06	Cephalorhynchus hectori hectori	58100	23283	beachcast	NA	NA	NA	NA	NA	NA	H73/03	NA	NA	WB03-48 Chh	NA	NA	35399	F	Jb	0	no	no	Likely duplicate of 'CHEWC03-02' based on sampling location and identical collection_date_mod. This (CHE03NZ06) should be considered sample of reference as more information available for it.	H073	SI West Coast	24-Oct-2003	Hokitika	Duplicate (primary sample)
Yes	Hector's dolphin	Che03NZ07 (H76/03)	NA	Haast Beach	NA	NA	NA	NA	NA	Yes	NA	TL = 1.34mdigital photo's taken, Jim Lilley has copies	Two samples, one disposed. Massey code: WS05-07 Chh	CHE03NZ07	NA	Che03NZ07	Cephalorhynchus hectori hectori	5697422	2188631	beachcast	NA	NA	0.74	NA	NA	NA	H76/03	NA	NA	WB05-08 Chh	NA	NA	36865	M	Ca	0	no	no	Likely duplicate of 'CHEWC03-03' based on sampling location and identical collection_date_mod. This sample (CHE03NZ07) should be considered 'sample of reference' as more information available for it. 	H076	SI West Coast	13-Nov-2003	Haast/Jackson Bay	Duplicate (primary sample)
Yes	Hector's dolphin	Che04NZ13 (H86/04)	NA	Orepuki-Southland. Halfway along the beach from Orepuki. Map D46; halfway between Dudley Street and Shilo, Te Waewae Bay	Southland	NA	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Massey code: WB05-10 Chh	CHE04NZ13	NA	Che04NZ13	Cephalorhynchus hectori hectori	5423500	2004600	beachcast	NA	NA	NA	NA	Female	NA	H86/04	NA	NA	WB04-22 Chh	NA	NA	36634	F	L	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;CHE04NZ01 is a duplicate of this sample based on matching pathology_codes. This (CHE04NZ13) should be considered the 'sample of reference' as it had more information in the DOC_Massey database.	H086	SI South Coast	14-Nov-2004	Te Waewae	Duplicate (primary sample)
Yes	Hector's dolphin	Che05NZ18 (H106/05)	Dec-05	Fossil Point base of Farewell Spit M24 777 87200	Nelson	Tasman	NA	NA	Yes	Yes	Yes	T.L. = 124 cmphotos taken, not providedDoC# HD135/07	Two samples, one disposed. Massey code: None	CHE05NZ18	NA	Che05NZ18 (also Che05NZ08)	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Unknown	NA	H106/05	NA	NA	WB05-31 Chh	NA	NA	38008	M	Ca	0	no	no	CHE05NZ08 is a duplicate of this sample. This (CHE05NZ18) should be considered the 'sample of reference' as it had more information in the DOC_Massey database. Information for the following columns taken from CHE05NZ08: Date_received, Region, Ocean, Info_sent, Info_requested, Sex_observed	H106	Farewell Spit	23-Nov-2005	Farewell Spit	Duplicate (primary sample)
Yes	Hector's dolphin	Che09NZ03 (H192/09; U09-175)	NA	Purakaunui Inlet, Dunedin	Otago	Pacific	NA	NA	NA	NA	NA	NA	No data available. Just had H code. Added to the database and re-coded by Sahar. Massey code: W09-21Ch	CHE09NZ03	NA	Che09NZ03	Cephalorhynchus hectori hectori	NA	NA	beachcast	Steve Dawson/Matt Elison	NA/Coastal Otago	0.818	calf	Female	NA	H192/09	NA	NA	W09-21Ch	NA	NA	NA	NA	S	24	no	no	Matt Elison of DOC Coastal Otago (erroneously Central Otago) given as collector in NZCETA. Steve Dawson in DOC_Massey;CHE09NZ17 is a duplicate of this sample based on matching pathology_codes. This (CHE09NZ03) should be considered the 'sample of reference' as it had more information in the DOC_Massey database	H192	SI East Coast	12-Dec-2009	Dunedin	Duplicate (primary sample)
Yes	Hector's dolphin	Che10NZ04 (H200/10; U10-103)	NA	Serpentine Creek mouth, 20km north Hokitika (1/2 way between HK & GM)	West Coast	Tasman	NA	NA	NA	NA	NA	No Sheet yet - see RMH	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar.Massey code: W12-02Chh	CHE10NZ04	NA	Che10NZ04 (also Che10NZ10)	Cephalorhynchus hectori hectori	NA	NA	beachcast	Don Neale	Hokitika	NA	juvenile	Female	NA	H200/10	NA	NA	NA	NA	NA	NA	F	Ib	24	no	no	DOC_Massey had 'D. Neale' for 'Collected_By' and 'West Coast' for 'DoC_Agency';CHE10NZ10 is a duplicate of this sample. This (CHE10NZ04) should be considered the 'sample of reference' as it had more information in the DOC_Massey database	H200	SI West Coast	13-Oct-2010	Hokitika	Duplicate (primary sample)
Yes	Hector's dolphin	Che12NZ02 (H221/12; U12-003)	NA	Opunake, Taranaki	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesbone and tissue fragments from MoNZalternate code = CETOS 8730, monz2011	NA	CHE12NZ02	NA	Che12NZ02	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	H221/12	NA	NA	NA	NA	NA	NA	M	Hb	22	no	no	Likely duplicate of 'U12-006' based on identical Location.x and identical collection_date_mod. Based on this, the U-code given in 'Code' is incorrect, however this sample has more information available than U12-006, so should be taken as the 'sample of reference. Note this is an apparent Hector's sample within Maui rohe	H221	Maui	25-Apr-2012	Taranaki	Duplicate (primary sample)
Yes	Hector's dolphin	CheBP62 (H31)	NA	Akaroa Harbour	Canterbury	Pacific	NA	NA	NA	NA	NA	NA	No data available. No H code. Eneterd to the database by Sahar. Massey code: None	CHEBP62	NA	CheBP62	Cephalorhynchus hectori hectori	NA	NA	beachcast	Al Hutt	Akaroa	1.095	NA	Male	NA	H31/00	NA	HD31	NA	NA	NA	NA	M	A	13	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;NZCETA had 'Pegasus Bay, Akaroa Harbour', DOC_Massey had 'Pegasus Bay, Akaroa Harbour ??'. Given the DOC agency involved in collecting, think this should probably just be Akaroa Harbour;CHESIFP_CETOS9698 is a duplicate of this sample based on similar Location.x and matching collection_date_mod. This (CHEBP62) should be considered the 'sample of reference' as it had more information in the DOC_Massey database. CHESIFP_CETOS9698 had 'PC Bay, Akaroa' as its Location.x, which probably explains where the Pegasus Bay confusion arose from	H031	SI East Coast	11-Mar-2000	Akaroa	Duplicate (primary sample)
NA	Hector's dolphin	CheBP63	NA	1.3km north of Waimairi Surf club, Pegasus Bay	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesdefinate net marksalternate code = CETOS Ch96102	NA	CHEBP63	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location;Likely duplicate of 'CHESIFP_CETOS8846' based on identical Location.x and consistent collection_date_mod. This (CHEBP63) should be considered the 'sample of reference' because it has a unique sample code	NA	SI East Coast	Jan-2000	Pegasus Bay	Duplicate (primary sample)
