MarMam observation ID num	MarMam individual ID num PK	Animal ID	Vernacular name	Date event observed	Date event observed confidence	Date event reported	Observation type	Gear type	Latitude 	Longitude 	Coordiante Capture method 	Location 	Area descriptor	NZ Regions	Physical population	General description of conditions	Description	Event remarks 	Platform	DOC response	Agency notified	DNA test results Haplotype	sex	Age class	Length cm	Suspected primary cause of death	Necropsy status	Necropsy results	Necropsy results details	Result confidence (for human-related cause of death only)
293			Hector's dolphin	1/01/22 0:00	Estimated	1/01/99	Historic mortality - type unknown	Not Applicable	-35.18107	174.19987	Estimated location	Bay of Islands	CEP-Other (North Island)	Northland	Other	Unknown	"Specimen captured, skeleton in Paris Museum.  Described by Van Beneden as the type of Electra hectori. Teeth 30, Vertebrae: C 7, D 14, L15, Ca. 27=63.  Two cervicals fused, ribs 14."	Not required	Platform not specified	Response not required	Cawthron			Adult						
912	1		Maui dolphin	1/05/21 0:00	Actual	1921-05-01	Historic mortality - type unknown	Unknown	-39.94765	174.98165	Estimated location	Castlecliff	CEP-New Plymouth South to Cape Terawhiti	Manawatu-Wanganui	WCNI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown	G	Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
913	2		Hector's dolphin	1/01/45 0:00	Actual	1945-01-01	Historic mortality - type unknown	Unknown	-43.22141	170.15822	Estimated location	Okarito	CEP-Other (South Island)	West Coast	WCSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult	130	Unknown	Not applicable	Not applicable	Not applicable	Not applicable
914	3		Hector's dolphin	1/01/48 0:00	Actual	1948-01-01	Historic mortality - type unknown	Unknown	-43.5301	172.74138	Estimated location	South New Brighton	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult	100.5	Unknown	Not applicable	Not applicable	Not applicable	Not applicable
915	4		Hector's dolphin	1/03/48 0:00	Actual	1948-03-01	Historic mortality - type unknown	Unknown	-43.5301	172.74138	Estimated location	South New Brighton	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
916	5		Maui dolphin	20/12/50 0:00	Actual	1950-12-20	Historic mortality - type unknown	Unknown	-38.37862	174.64268	Estimated location	"Nukuhakari Beach, Waikato"	CEP-Kawhia to Pariokariwa Point	Waikato	WCNI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
917	6		Hector's dolphin	1/03/53 0:00	Actual	1953-03-01	Historic mortality - type unknown	Unknown	-43.57119	172.76499	Estimated location	Sumner 	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
918	7		Hector's dolphin	14/08/53 0:00	Actual	1953-08-14	Historic mortality - type unknown	Unknown	-41.26116	173.28564	Estimated location	Nelson	CEP-Other (South Island)	Nelson	NCSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
919	8		Maui dolphin	20/12/53 0:00	Actual	1953-12-20	Historic mortality - type unknown	Unknown	-38.37862	174.64268	Estimated location	"Nukuhakari Beach, Waikato"	CEP-Kawhia to Pariokariwa Point	Waikato	WCNI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
920	9		Hector's dolphin	1/01/56 0:00	Actual	1956-01-01	Historic mortality - type unknown	Unknown	-41.37861	175.06233	Estimated location	Palliser Bay	CEP-Cape Terawhiti to Napier	Wellington	WCNI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
