Standardized_UoA_code	UoA_sample_code	Animal_ID	Common_name	Species_subspecies	Date_event_reported	Latitude	Longitude	Specific_geographic_location	Broad_geographic_location	Physical_population	Age_class	Sex	Length_cm	mtDNA_haplotype	Sampling_event	Fisheries_gear_type	Description_of_collection_event	Additional_remarks	Necropsy_results	Necropsy_results_details	Path_No.	COD_category	Detailed_cause_of_death	Death_by_pathogen	Cause_of_death_notes	Reconciliation_notes
CHE12NZ02	Che12NZ02 (H221/12; U12-003)	H221	Hector's dolphin	Cephalorhynchus hectori hectori	25-Apr-2012	-39.397933	173.786117	330m south of river mouth, Kina Road, Opunake, Taranaki	Taranaki	WCNI	A	M	127	Hb	Beachcast (dead on shore)	Not Applicable	Found by member of the public. Collected and drove to Massey after consultation/blessing of Taranaki iwi. No obvious signs of trauma or net marks. Necropsy undertaken by Stu Hunter. Taranaki iwi support maximising scientific opportunity in this instance	DNA results = not G therefore Hector's dolphin	Natural causes - disease	1. Fungal septicaemia with pneumonia and encephalitis. 2. Pancreatic and hepatic fibrosis (likely fluke infection). This dolphin had severe fungal lesions in the brain and in the lungs, as well as extensive fibrosis of the liver and pancreas, most likely due to parasitism by flukes. These two conditions would have caused the poor body condition and ultimate death.	47731	Disease	fungal septicemia, pneumonia, encephalitis	y	NA	Likely duplicate of 'U12-006' based on identical Location.x and identical collection_date_mod. Based on this, the U-code given in 'Code' is incorrect, however this sample has more information available than U12-006, so should be taken as the 'sample of reference. Note this is an apparent Hector's sample within Maui rohe
CHE08NZ01	Che08NZ01 (H157/08; U08-004)	H157	Hector's dolphin	Cephalorhynchus hectori hectori	08-Jan-2008	-46.16886	167.54901	Te Waewae Bay, on cobbled beach, below cliffs	Te Waewae	SCSI	A	F	54	M	Beachcast (dead on shore)	Not Applicable	"Found at low tide  while walking Te Waewae bay. Animal looked very fresh "skin looked like wet plastic". Observed a red fishing vessel off the coast in the same vicinity, unsure if trawling or fishing. The carcass was still bleeding bright red blood, carc____"	from UoA: TL=0.540 m Photos taken, not provided Fresh. In UofA database provided to DOC but no haplotype recorded	Natural Causes - general	1. Chronic anterior mesenteric lymphadenitis and lymphangectasia. 2. Terminal predation/scavenging by sharks. The actual cause of death is difficult to determine. She was in reasonable body condition. The wounds were severe enough to be fatal, most were inflicted alive. Some are typical of shark predation, but there were a few distinct circular marks not seen before. They had sharp even margins that did not look typical of a predator or scavenger, could be human interaction.	41223	Predation	shark predation	n	NA	Although NZCETA had some information for this sample, it did not have info for 'Sex'. This was taken from DOC_Massey
CHE08NZ03	Che08NZ03 (H163/03; U08-055)	H163	Hector's dolphin	Cephalorhynchus hectori hectori	02-Aug-2008	-42.50729	171.16622	Paroa Beach 200m North of School, near Greymouth Map Reference J32 593359	Greymouth	WCSI	A	F	139	Ib	Beachcast (dead on shore)	Not Applicable	Found at Paroa beach, 200m north of school (Greymouth). Carcass had been dragged up from the intertidal zone to the driftwood line and recovered 6 hours later. No net marks nor signs of injury other than those attributable to gulls.	not in UoA db	Unknown trauma	1. Acute abdominal trauma with fatal haemorrhage from renal mass. This female dolphin died following trauma to the right side of the body which resulted in rupture of a kidney mass and fatal haemorrhage into the abdomen. It is impossible to say what the source of trauma was, but there is no convincing evidence of entanglement.	42764	Misc	Renal cyst/haemorrhage/blunt trauma	n	NA	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead
CHE08NZ07	Che08NZ07 (H169/08; U08-070)	H169	Hector's dolphin	Cephalorhynchus hectori hectori	07-Nov-2008	-41.59542	171.88608	Hector Beach, Hector, West Coast (N of Westport)	Westport	WCSI	A	F	132.5	Jb	Beachcast (dead on shore)	Not Applicable	Sample washed up on beach, very fresh, was not there at 1230pm-2.30pm, retrieved covered and frozen, no nets seen, weather changeable spring. New tests in 2011 confirmed toxoplasmosis in this dolphin.	from UoA: T.L. = 141 cm CD of photos provided	Natural causes - disease	Diagnosis: disseminated toxoplasmosis. This mature female dolphin had no indications of being entangled in a net: her stomach had no fresh contents, and her lungs were not consistent with drowning as a cause of death. Histology, immunohistochemistry and PCR are diagnostic for toxoplasmosis.	42644	Disease	toxoplasma	y	NA	DOC_Massey made this observation of Sex_observed 'Male';DOC_Massey had '2008' for Collection_Date
CHE08NZ12	Che08NZ12 (H166/08)	H166	Hector's dolphin	Cephalorhynchus hectori hectori	02-Oct-2008	-42.38	171.23132	Rapahoe, 8km North of Greymouth, 1 km south of pub.	Greymouth	WCSI	S	M	118	NA	Beachcast (dead on shore)	Not Applicable	Found by a member of the public at about 1300-1330hrs at water line approx. Tide going out at the time shortly after peak tide. New tests conducted in 2011 confirmed toxoplasmosis in this dolphin.	not in UoA db	Natural causes - disease	"Diagnosis: toxoplasmosis. The original diagnosis on this dolphin was "open" as there was no immediate cause of death identified on histology alone. In 2011 we developed new testing methods for toxoplasma and screened archived samples for this disease. This testing confirmed that toxoplasma was the cause of death in this animal."	42428	Disease	toxoplasma	y	NA	Not enough information to determine subspecies
CHE08NZ13	Che08NZ13 (H168/08)	H168	Hector's dolphin	Cephalorhynchus hectori hectori	07-Oct-2008	-43.142303	172.80806	North of Waipara river, Amberley Beach, Pegasus Bay	Pegasus Bay	ECSI	A	F	137.4	NA	Beachcast (dead on shore)	Not Applicable	"Received call from public via phone messages on staff phone 4pm 7 Oct 2008. Caller lfet no Id# but we will try to trace this. Located GPS first page - "Waipara rocks" northern end of Pegasus Bay, Canterbury. Washed up on small gravelled beach (relatively ____"	not in UoA db	Natural causes - disease	DIAGNOSIS: Fungal pneumonia and encephalitis. The cause of death in this animal was a systemic fungal infection involving the brain and lungs. There was no evidence of human intervention of any kind. This female was adult, and was producing milk at the time of her death.	42366	Disease	fungal septicaemia	y	NA	Not enough information to determine subspecies
CHE09NZ09	Che09NZ09 (H188/09; U09-213)	H188	Hector's dolphin	Cephalorhynchus hectori hectori	30-Oct-2009	-43.870751	172.299871	Rakaia River Mouth - 5 km north beside sea/lagoon barrier, Canterbury	Canterbury	ECSI	A	F	152	Cb2	Beachcast (dead on shore)	Not Applicable	Discovered by fishermen @ Rakaia huts, recovered by DOC staff and sent to Massey. V high seas day before finding. Third dolphin recovered from similar location in a period of a few weeks. New tests in 2011 confirmed toxoplasmosis in this dolphin.	Not required	Natural causes - disease	Diagnosis: disseminated toxoplasmosis. The lesions in the kidney and liver, and the fluid in the abdominal cavity are consistent with infection within the blood stream and multiple organs. This can be caused by bacteria, or, more rarely, by fungi. Further tests are underway to identify the causal organism. ADDENDUM: Histology, immunohistochemistry and PCR confirm toxoplasmosis as the cause of death in this dolphin.	44214	Disease	toxoplasma	y	NA	NA
CHE09NZ12	Che09NZ12 (H176/09)	H176	Hector's dolphin	Cephalorhynchus hectori hectori	21-Jan-2009	-45.390537	170.863435	Keepers Beech, south side of Katiki Point, North Otago	Otago	ECSI	A	F	148	NA	Beachcast (dead on shore)	Not Applicable	Found by public washed up in intertidal zone, moved to beach. Moeraki.	Not required	Other human induced	1. Unknown cause of death. 2. Human intervention - incised wound in abdomen. The straight margins of the wound indicate that it is likely caused by a knife cut. absence of bleeding into the surrounding muscle indicates the wound was inflicted after death. This particular dolphin did not show signs of bycatch: it was in low body condition, had not recently eaten and had only tiny amounts of fluid and froth in the airways. As a result, I could not confidently say that this dolphin was bycaught.	42749	Disease	bacterial + fungal	y	NA	Not enough information to determine subspecies
CHE09NZ14	Che09NZ14 (H182/09)	H182	Hector's dolphin	Cephalorhynchus hectori hectori	14-May-2009	-42.5833	173.5333	North of the Conway River	Canterbury	ECSI	S	M	120	NA	Entangled - caught in gear (dead)	Commercial set net	Kaikoura	Not required	Entanglement	Known bycatch. This young adult was in good body condition, with no evidence of chronic disease. The linear impressions on the snout are consistent with entanglement, as are the changes within the lung. There was evidence of recent feeding. The exact cause of the holes scattered over the body and penetrating into the blubber is not known, but the fact that many of these had haemorrhage within them shows that they were caused prior to death, probably while in the net.	43204	Known bycatch	known bycatch	n	NA	Not enough information to determine subspecies;Date event observed was 8/05/09 0:00
CHE09NZ16	Che09NZ16 (H189/09)	H189	Hector's dolphin	Cephalorhynchus hectori hectori	01-Nov-2009	-42.5833	173.5483	Near Conway River, Canterbury	Canterbury	ECSI	S	M	121.8	NA	Entangled - caught in gear (dead)	Commercial set net	No info, reported through observer programme.	Incident form is missing	Entanglement	Known bycatch. The gross lesions in this dolphin were consistent with death due to entanglement in a fishing net. He was in good body condition, with no signs of chronic disease, and showed evidence of recent feeding (stomach contents and presence of chyle-rich fluid in mesenteric lymphatics). In addition, there were multiple skin wounds consistent with net marks.	44217	Known bycatch	known bycatch	n	NA	Not enough information to determine subspecies;Age_class based on Massey: NZCETA had NA, DOC had 'Adult';NZCETA_DOC_pathology had 3-Nov-2009 for the collection date
