UoA_Code	Species_subspecies	Common_Name	Collection_Date	Location	LatitudeS_Northing	LongitudeE_Easting	Tissue_Type	Collected_By	DoC_Agency	TL_m	Age_Class	Sex_observed	Pregnant?	Doc_incident_no	Doc_animal_no	Franz_source_code	Massey_Code	MONZ_code	CETOS_code	Necropsy_file_no_Pathology_no	Genetic_Sex	mtDNA_haplotype	no_microsatellites	MHC_DQA	MHC_DQB
Che03NZ01	Cephalorhynchus hectori hectori	Hector's dolphin	10-Nov-03	Between Kaikoura swimming pool and University of Canterbury marine lab			beachcast	Mike Morrissey	Kaikoura					H74/03			WB03-46 Chh			35397	F	Ia	0	no	no
Che03NZ02	Cephalorhynchus hectori hectori	Hector's dolphin	11-Nov-03	Mangamaunu Bay 13km north of Kaikoura			beachcast	Mike Morrissey	Kaikoura	1.25				H75/03			WB03-47 Chh			35398	M	Cb1	0	no	no
Che03NZ03	Cephalorhynchus hectori hectori	Hector's dolphin	16-Dec-02	Timaru; Floating in the fishing boat harbour area. (Sanfords; corner of fishermanÕs wharf	"NZMS: 260J39, K39713455 "		beachcast					M		H61/02			WB03-03Chh =H61/02; or{WB03-45 Chh = H61/03}			34209 or  35349=H61/03	M	Jb	0	no	no
Che03NZ05	Cephalorhynchus hectori hectori	Hector's dolphin	10-Oct-03	Barrytown Beach  (N of Greymouth)	K31 703 815 		beachcast							H71/03			WB03-45 Chh foetus			35349	F	Jb 	0	no	no
Che03NZ06	Cephalorhynchus hectori hectori	Hector's dolphin	24-Oct-03	"Mikonui mussel bed beach, about 30km south of Hokitika "	58100	23283	beachcast							H73/03			WB03-48 Chh			35399	F	Jb	0	no	no
Che03NZ07	Cephalorhynchus hectori hectori	Hector's dolphin	13-Nov-03	Haast Beach	5697422	2188631	beachcast			0.74				H76/03			WB05-08 Chh			36865	M	Ca	0	no	no
Che04NZ02	Cephalorhynchus hectori hectori	Hector's dolphin	25-Apr-04	"3nm north of Buller river mouth, Westport"			beachcast	Martin Abel	Buller	1.02				H81/04			WB04-07 Chh			35947	M	Jb	0	no	no
Che04NZ03	Cephalorhynchus hectori hectori	Hector's dolphin	22-Nov-04	"Port Levy, BP"	5727229	2495464	beachcast	Al Hutt	Akaroa			F		H87/04			WB04-26 Chh			36708	F	E	0	no	no
Che04NZ04	Cephalorhynchus hectori hectori	Hector's dolphin	4-Dec-04	Akaroa Heads	42o 52.90Õ South	172o 65.72Õ East	beachcast/floating at sea	Al Hutt	Akaroa	0.73	neonate/calf (1 week old?)	M		H88/04			WB04-27 Chh			36709	M	Ca	0	no	no
Che04NZ05	Cephalorhynchus hectori hectori	Hector's dolphin	11-Dec-04	"Te Waewae Bay, Orepuki Beach "	54232000	2004100	beachcast	Ros Cole and John Garret	Murihiku	0.8				H90/04			WB04-31 Chh			36740	M	M	14	no	no
Che04NZ07	Cephalorhynchus hectori hectori	Hector's dolphin	30-Jan-04	Sumner Beach	5738070	2490418	beachcast/floating in surf							H79/04			WB04-08 Chh			35972	F	A	0	no	no
Che04NZ11	Cephalorhynchus hectori hectori	Hector's dolphin	9-Oct-04	New Brighton Beach	5743832	248510	beachcast							H84/04			WB04-20 Chh			36528	F	E	0	no	no
Che04NZ12	Cephalorhynchus hectori hectori	Hector's dolphin	9-Oct-04	New Brighton Beach	5743832	248510	beachcast				foetus			H84/04 FOETUS			WB04-20 Chh foetus			36528	F	E	0	no	no
Che04NZ13	Cephalorhynchus hectori hectori	Hector's dolphin	14-Nov-04	Orepuki-Southland. Halfway along the beach from Orepuki. Map D46; halfway between Dudley Street and Shilo 	5423500	2004600	beachcast							H86/04			WB04-22 Chh			36634	F	L	0	no	no
Che04NZ15	Cephalorhynchus hectori hectori	Hector's dolphin	9-Dec-04	"Tumbledown Bay, Southern Banks Peninsula "	N: 5705945 	E: 2491527	beachcast					M		H89/04			WB05-39 Chh			36779	M	Cb	0	no	no
Che04NZ16	Cephalorhynchus hectori hectori	Hector's dolphin	21-Dec-04	"Robinson Bay, Banks Peninsula "	N: 5716162	E: 2506778	beachcast							H91/04			WB05-12 Chh			36901	F	Ca	0	no	no
Che05NZ01	Cephalorhynchus hectori hectori	Hector's dolphin	19-Jan-05	Three mile beach Okarito NZMS 260 H35 Franz Josef	N: 5770295	E: 2276599	beachcast	Bryce Lummis	Hokitika	1.34	adult			H95/05			WS05-07 Chh			36863	F	Jb	0	no	no
Che05NZ02	Cephalorhynchus hectori hectori	Hector's dolphin	9-Feb-05	40km north of Westport on Nikau Beach			beachcast	Martin Abel and Scott Freeman	Buller	1.2				H98/05			WB05-14 Chh			36922	M	Jb	0	no	no
Che05NZ03	Cephalorhynchus hectori hectori	Hector's dolphin	18-Feb-05	Neils Beach south of Haast 260 E37 605813			beachcast	Robin Manera	South Westland	1.23				H99/05			WB05-15 Chh			36326	M	Jb	0	no	no
Che05NZ04	Cephalorhynchus hectori hectori	Hector's dolphin	2-Nov-05	"Neils Beach Jackson Bay, South Westland"			beachcast	Don Neale	South Westland	1.43				H102/05			WS05-36 Chh			38019	F	Hb	0	no	no
Che05NZ05	Cephalorhynchus hectori hectori	Hector's dolphin	2-Nov-05	"Neils Beach Jackson Bay, South Westland"			beachcast	Don Neale	South Westland	1.25				H103/05							M	Hc	0	no	no
Che05NZ06	Cephalorhynchus hectori hectori	Hector's dolphin	2-Nov-05	"Neils Beach Jackson Bay, South Westland"			beachcast	Don Neale	South Westland	1.2				H104/05			WS05-35 Chh			38018	M	Hb	0	no	no
Che05NZ07	Cephalorhynchus hectori hectori	Hector's dolphin	2-Nov-05	"Neils Beach Jackson Bay, South Westland"			beachcast	Don Neale	South Westland	1.45				H105/05			WS05-34 Chh			38017	F	Hb	0	no	no
Che05NZ09	Cephalorhynchus hectori hectori	Hector's dolphin	6-Dec-05	1km South of Waimea Creek between Arahura and Taramakau Rivers NZMS260 2351300 5839400			beachcast	"Paul van Klink, Ron van Mierlo"	Hokitika	1.41				H109/05			WS06-07Chh			38224	F	Jb	24	no	no
Che05NZ12	Cephalorhynchus hectori hectori	Hector's dolphin	22-Dec-05	"3N miles north of Potato Point, 1.5-2Nmiles east of seacliff "			beachcast	Les Douglas	Dunedin	1.21				H114/06							M	S	0	no	no
Che05NZ13	Cephalorhynchus hectori hectori	Hector's dolphin	5-Jan-05	"Westport, Carters Beach (K29 23895 59387)"			beachcast	Don Neale/Martin Abel (DoC Buller)	Hokitika/Buller	1.24				H92/05			WB05-09 Chh			36866	M	Jc	5	no	no
Che05NZ14	Cephalorhynchus hectori hectori	Hector's dolphin	15 Jan 2005 or 28 June 2005	"Hokitika, halfway between Ross & the Mikonui mussel bed (NZMS260 I33 58110 23295)"			beachcast	Martin Abel/Don Neale	Buller/Hokitika	0.72				H94/05			WB05-06 Chh			36815	M	R	0	no	no
Che05NZ15	Cephalorhynchus hectori hectori	Hector's dolphin	after 31Dec04 (recovered 5 Jan05)	Te Waewae bay just west of ÔMcCrackenÕs Rest towards Waiau River mouth 	N: 5429986	E: 2097342	beachcast							H93/05			WB05-01 Chh			36778	F	L	0	no	no
