Individual_num	Indiv_ID	Sex	Stranded_sample	2001	2002	2003	2004	2006	2007	2010	2011	2013	2015	2016	2018	Notes	2010_match_status	2011_match_status	2013_match_status	2015_match_status	2016_match_status	2018_match_status
1	NI33	F		NI33		"NI77,91"		NI0604						16NZ21							matched up on rerun and/or looks like a good individual based on PPHO104 only	
2	NI34	F		NI34																		
3	NI35	M		NI35									15NZ18	"16NZ42,46"						matched up on rerun and/or looks like a good individual based on PPHO104 only	matched up on rerun and/or looks like a good individual based on PPHO104 only	
4	NI49	F		NI49		NI85																
5	NI50	F		NI50																		
6	NI51	F		NI51																		
7	NI52	F		NI52																		
8	NI36	M		"NI36,39"																		
9	NI37	M		NI37							NI11-26			16NZ43				matched up on rerun and/or looks like a good individual based on PPHO104 only			matched up on rerun and/or looks like a good individual based on PPHO104 only	
10	NI38	F		"NI38,48"																		
11	NI40	F		NI40																		
12	NI41	F		NI41																		
13	NI43	F		NI43		NI78																
14	NI44	M		NI44																		
15	NI45	F		"NI45,53"		"NI71,76"					NI11-19							matched up on rerun and/or looks like a good individual based on PPHO104 only				
16	NI46	F		NI46																		
17	NI47	M	NI92	NI47		NI92																
18	NI42	M		NI42																		
19	NI54	M	ChemU18-004	NI54		"NI72,80,81"	NI99								ChemU18-004							
20	NI57	F	NI57	NI57																		
21	NI55	F		NI55																		
22	NI56	F		NI56			NI103			"NI10-14,31"	NI11-12						has matching PPHO104 to other individuals/samples but differs at other loci	has matching PPHO104 to other individuals/samples but differs at other loci				
23	NI58	F	NI58	NI58																		
24	NI59	M	NI59	NI59																		
25	NI60	M	NI60		NI60																	
26	NI63	M			NI63																	
27	NI61	M	NI61		NI61																	
28	NI62	M	NI62		NI62																	
29	NI64	F			"NI64,65"			NI0602					15NZ48							matched up on rerun and/or looks like a good individual based on PPHO104 only		
30	NI66	M			"NI66,67"		"NI96,100"															
31	NI68	M				NI68																
32	NI69	M				NI69				NI10-36							matched up on rerun and/or looks like a good individual based on PPHO104 only					
33	NI70	F				NI70					NI11-15							matched up on rerun and/or looks like a good individual based on PPHO104 only				
34	NI73	F				NI73				NI10-30							matched up on rerun and/or looks like a good individual based on PPHO104 only					
35	NI74	F				NI74				NI10-15							matched up on rerun and/or looks like a good individual based on PPHO104 only					
36	NI75	F				NI75																
37	NI79	F				NI79																
