Checked	Species_name	Common_name	Code	Date_stranded	Date_received	Location	Region	Ocean	Cause_of_death	Sex	Who		Source	What	Info_sent	Extracted	Info_requested	Other_info	Archiving_info	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che00NZ01 (H36/00)															TL = 1.02msample found in Kirsty's fridge Aug 06cow swimming around carcass quite agitated	"Three samples, two disposed. Massey code: WB04-07 Chh"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che00NZ02 (H37/00)															info sheets sent to Scott via email?sample found in Kirsty's fridge Aug 06	"Three samples, two disposed. Massey code: WB04-26Chh"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che01NZ01 (H39/01)															info sheets sent to Scott via email?sample found in Kirsty's fridge Aug 06	"Three samples, two disposed. Massey code: WB04-27 Chh"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che01NZ02 (H40/01)															TL = 0.8msample found in Kirsty's fridge Aug 06	"Three samples, two disposed. Massey code: WB04-31 Chh"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che01NZ03 (H44/01)																"No data available. Added to the database by Sahar. H code and date/Che code do not match? Two samples (one in Becca's box), combined. Massey code: WB04-10Chh"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che02NZ01 (H63/02)																"Added to the database by Sahar. Three samples, Two disposed (one out of three in Becca's box). Massey code: WB04-08 Chh"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che02NZ02																No data available. Added to the database by Sahar. Massey code: WB04-09Chh	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che02NZ03	08/11/2002			North Piha												No data available. Added to the database by Sahar. Massey code: WB04-17Chh	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che03NZ01 (H74)	10/11/2003	not sure before 2006	Between Kaikoura swimming pool and University of Canterbury marine lab	Canterbury	Pacific Ocean	net entanglement?	Unknown	"Mike Morrissey, DoC kaikoura"								No data available. Added to the database by Sahar. Massey code: WB04-18Chh	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che03NZ02 (H75)	11/11/2003	unsure	mangamaunu Bay 13km north of Kaikoura	Canterbury			Male	"Mike Morrissey, DoC Kaikoura"								Added to the database by Sahar. Massey code: WB04-20Chh	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che03NZ03 (H61/02)															Foetus	"Added to the database by Sahar. Massey code: WB04-20Chh, foetus"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che03NZ04 (H68/03)	?															Added to the database by Sahar. Massey code: WB04-22 Chh	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che03NZ05 (H71/03)	10/10/2003		Barrytown Beach													Added to the database by Sahar. Massey code: WB05-39 Chh	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che03NZ06 (H73/03)	24/10/2003		"Mikonui mussel bed beach, about 30km south of Hokitika "													Added to the database by Sahar. Massey code: WB05-12 Chh	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che03NZ07 (H76/03)	13/11/2003		Haast Beach										Yes		"TL = 1.34mdigital photo's taken, Jim Lilley has copies"	"Two samples, one disposed. Massey code: WS05-07 Chh"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che03NZ08 (H69/03)			Greymouth										Yes		TL = 1.2mdigital photo's taken	"Three samples, two disposed. Massey code: WB05-14 Chh"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che03NZ09 (H77/03)	01/12/2003												Yes		TL = 1.23mdigital photo's taken	"Three samples, two disposed. Massey code: WB05-15 Chh"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che04NZ01(H86/04)	14/11/2004	unsure	Orepuki Southland 5423500 2004600	Southland			Male	"Lynne Sheldon-Sayer, DoC Murihiku"					Yes		TL = 1.43m1 of 4 dolphins caught in a net	"Two samples, one disposed. Massey code: WS05-36Chh"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che04NZ02 (H81/04)	25/04/2004	unsure	3nm north of Buller river mouth	West Coast			Male	"Martin Abel, DoC Buller"					Yes		TL = 1.25m1 of 4 dolphins caught in a net	Massey code: None	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che04NZ03 (H87/04)	22/11/2004	unsure	"Port Levy, BP"	Canterbury			Female	"Al Hutt, DoC Akaroa"					Yes		TL = 1.2m1 of 4 dolphins caught in a net	"Two samples, one disposed. Massey code: WS05-35 Chh"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che04NZ04 (H88/04)	04/12/2004	unsure	Akaroa Heads	Canterbury			Male	"Al Hutt, DoC Akaroa"					Yes		TL = 1.45m1 of 4 dolphins caught in a net	"Two samples, one disposed. Massey code: WS05-34 Chh"	
