param,mean,median,1.000_CI_LB,1.000_CI_UB
gamma-quantile_param_0,0.609217,0.614737,0.044462,0.975136
gamma-quantile_param_1,0.498159,0.506571,0.029546,0.925008
gamma-quantile_param_2,0.753198,0.795786,0.243901,0.996264
gamma-quantile_param_3,0.363452,0.407291,0.010164,0.716296
gamma-quantile_param_4,0.549919,0.501490,0.072908,0.984751
gamma-quantile_param_5,0.244821,0.170126,0.011524,0.894855
gamma-quantile_param_6,0.933919,0.977522,0.554849,0.999985
gamma-quantile_param_7,0.557973,0.616559,0.001462,0.993508
gamma-quantile_param_8,0.524052,0.518855,0.048060,0.995806
gamma-quantile_param_9,0.116235,0.041048,0.000243,0.939523
gamma-quantile_param_10,0.154541,0.041072,0.000006,0.944414
gamma-quantile_param_11,0.399886,0.375801,0.002456,0.944159
gamma-quantile_param_12,0.578989,0.612674,0.009184,0.991233
gamma-quantile_param_13,0.569317,0.571489,0.090321,0.971814
gamma-quantile_param_14,0.693355,0.806722,0.101972,0.988426
gamma-quantile_param_15,0.116527,0.075098,0.000974,0.516834
gamma-quantile_param_16,0.530322,0.514281,0.064383,0.986004
gamma-quantile_param_17,0.102563,0.062013,0.000335,0.681029
gamma-quantile_param_18,0.766152,0.756388,0.274177,0.999916
gamma-quantile_param_19,0.787321,0.813542,0.267688,0.998135
gamma-quantile_param_20,0.919660,0.943178,0.645951,0.999995
gamma-quantile_param_21,0.879672,0.941745,0.318694,0.999784
gamma-quantile_param_22,0.835494,0.911128,0.281309,0.999459
gamma-quantile_param_23,0.386346,0.196198,0.001098,0.999977
gamma-quantile_param_24,0.465494,0.403603,0.006705,0.994235
gamma-quantile_param_25,0.375803,0.293332,0.008315,0.978110
gamma-quantile_param_26,0.467829,0.369480,0.043197,0.994937
gamma-quantile_param_27,0.769610,0.769986,0.506268,0.940217
gamma-quantile_param_28,0.469519,0.466900,0.035269,0.939893
gamma-quantile_param_29,0.811535,0.897187,0.121722,0.995576
gamma-quantile_param_30,0.421048,0.376971,0.004601,0.995168
gamma-quantile_param_31,0.601139,0.586335,0.087555,0.997504
gamma-quantile_param_32,0.447145,0.363654,0.003850,0.988348
gamma-quantile_param_33,0.617024,0.648695,0.121020,0.995710
gamma-quantile_param_34,0.555773,0.591869,0.012591,0.996993
gamma-quantile_param_35,0.612093,0.657209,0.109414,0.997864
gamma-quantile_param_36,0.585451,0.600418,0.105894,0.998677
gamma-quantile_param_37,0.463011,0.393081,0.000702,0.999993
gamma-quantile_param_38,0.631694,0.662507,0.026628,0.999956
gamma-quantile_param_39,0.664848,0.646903,0.208347,0.998493
gamma-quantile_param_40,0.642422,0.676087,0.059528,0.956616
gamma-quantile_param_41,0.111381,0.058889,0.000136,0.637760
gamma-quantile_param_42,0.185959,0.112085,0.000014,0.923213
gamma-quantile_param_43,0.220085,0.166540,0.003642,0.787071
gamma-quantile_param_44,0.312593,0.286143,0.002125,0.936164
