param,mean,median,1.000_CI_LB,1.000_CI_UB
beta_loc_0_pop_0,2.443534,2.729079,0.100190,4.113478
beta_loc_1_pop_0,1.826888,1.841341,-0.015080,4.262428
beta_loc_2_pop_0,-4.733113,-4.623627,-6.522041,-3.083728
beta_loc_3_pop_0,-0.155994,0.044875,-1.835892,1.317721
beta_loc_4_pop_0,4.371651,3.732357,0.617076,8.960470
beta_loc_5_pop_0,-1.376215,-1.562106,-3.376518,0.908304
beta_loc_6_pop_0,-5.142183,-5.149634,-7.340546,-3.034835
beta_loc_7_pop_0,0.544027,0.522621,-0.981581,2.799919
beta_loc_8_pop_0,-0.028232,-0.112428,-1.301981,1.596008
beta_loc_9_pop_0,-2.776065,-2.852598,-4.246335,-0.990976
beta_loc_10_pop_0,-2.187435,-2.200670,-4.479771,0.262008
beta_loc_11_pop_0,0.116151,-0.105702,-0.987520,1.556930
beta_loc_12_pop_0,-0.148121,-0.264568,-0.995785,1.927332
beta_loc_13_pop_0,0.767538,0.667407,-0.826449,2.688787
beta_loc_14_pop_0,1.635862,1.688997,-0.910440,5.307463
beta_loc_15_pop_0,-2.132482,-2.107671,-3.836617,-0.721716
beta_loc_16_pop_0,0.959649,0.890123,-0.518401,2.956809
beta_loc_17_pop_0,-1.744577,-1.787994,-3.071046,-0.496694
beta_loc_18_pop_0,1.212242,1.324219,-0.840408,3.102404
beta_loc_19_pop_0,5.280088,6.300712,1.174294,8.575076
beta_loc_20_pop_0,0.186643,0.410687,-2.884401,2.137482
beta_loc_21_pop_0,0.168520,0.042045,-1.218850,2.418178
beta_loc_22_pop_0,-0.103234,-0.120610,-1.354849,1.367461
beta_loc_23_pop_0,-1.875891,-1.690804,-4.828757,0.382804
beta_loc_24_pop_0,-3.654885,-3.504963,-5.275854,-1.985872
beta_loc_25_pop_0,-3.553303,-3.317018,-5.989828,-1.612199
beta_loc_26_pop_0,-3.008381,-2.883147,-4.832643,-1.379975
beta_loc_27_pop_0,-5.189836,-5.129953,-7.761726,-3.236273
beta_loc_28_pop_0,-0.095255,-0.368495,-0.997664,1.588252
beta_loc_29_pop_0,0.067328,0.062658,-1.313517,1.414601
beta_loc_30_pop_0,0.045965,0.018179,-1.145701,2.172562
beta_loc_31_pop_0,0.396398,0.303387,-0.975994,2.522697
beta_loc_32_pop_0,-1.735459,-2.422217,-4.952798,3.227400
beta_loc_33_pop_0,1.762190,1.507932,-1.394273,5.630055
beta_loc_34_pop_0,2.337457,1.675540,-0.640742,7.075189
beta_loc_35_pop_0,0.979590,0.994459,-0.966433,2.752700
beta_loc_36_pop_0,2.434677,2.547116,0.097714,4.932080
beta_loc_37_pop_0,1.449517,1.091786,-2.074022,4.740533
beta_loc_38_pop_0,1.556799,1.720219,-0.618115,3.868338
beta_loc_39_pop_0,0.654085,0.304950,-0.951465,3.906410
beta_loc_40_pop_0,1.288231,0.874243,-0.393854,4.208442
beta_loc_41_pop_0,-1.725485,-2.174992,-3.699646,0.662895
beta_loc_42_pop_0,-2.352462,-2.273626,-4.322808,-0.838409
beta_loc_43_pop_0,0.932137,1.050496,-0.976189,2.341536
beta_loc_44_pop_0,1.284015,1.299606,-0.094839,2.812530
beta_loc_45_pop_0,4.245550,4.167217,0.726950,7.361118
beta_loc_46_pop_0,0.481515,0.444844,-1.166982,2.098329
beta_loc_47_pop_0,-3.810908,-3.837102,-5.674334,-2.080473
beta_loc_48_pop_0,-2.545833,-2.445739,-4.350671,-0.949822
beta_loc_49_pop_0,0.217298,0.100119,-0.938759,2.020405
beta_loc_50_pop_0,1.729228,1.469181,-0.596712,5.412752
beta_loc_51_pop_0,-1.960156,-1.251279,-6.717816,1.558723
beta_loc_52_pop_0,1.352757,1.305446,-1.844378,4.947095
beta_loc_53_pop_0,-4.420847,-4.525670,-6.557770,-2.404150
beta_loc_54_pop_0,0.975625,0.494912,-0.772755,4.065334
beta_loc_55_pop_0,0.068235,-0.058653,-1.227102,1.754071
beta_loc_56_pop_0,0.088977,0.066512,-1.193846,1.945137
beta_loc_57_pop_0,-1.788804,-1.841058,-3.776496,0.196816
beta_loc_58_pop_0,-0.948602,-0.614137,-3.381909,0.580841
beta_loc_59_pop_0,-2.940604,-3.092736,-4.451695,-0.172242
beta_loc_60_pop_0,1.047600,0.829682,-0.902895,3.501772
beta_loc_61_pop_0,1.852176,1.896850,-0.310179,4.210165
beta_loc_62_pop_0,-2.111850,-2.198496,-4.112278,0.293323
beta_loc_63_pop_0,0.760642,0.507645,-1.299212,3.393227
beta_loc_64_pop_0,-3.250022,-2.956060,-6.140368,-0.793965
beta_loc_65_pop_0,2.065448,2.169486,-1.434316,5.230513
beta_loc_66_pop_0,1.071119,1.133206,-0.990772,3.427187
beta_loc_67_pop_0,1.039091,0.995885,-0.890150,2.648040
beta_loc_68_pop_0,3.000290,3.403677,0.743840,5.069893
beta_loc_69_pop_0,-1.976304,-2.728180,-4.242511,1.498458
beta_loc_70_pop_0,-0.522003,-0.414415,-2.251004,0.924932
beta_loc_71_pop_0,0.587607,0.503178,-0.970263,2.903006
beta_loc_72_pop_0,0.822522,0.536460,-0.993458,3.675320
beta_loc_73_pop_0,3.596851,3.566128,1.963062,4.977743
beta_loc_74_pop_0,5.054814,5.001517,1.935471,7.689145
beta_loc_75_pop_0,-3.561390,-3.668118,-5.818017,-1.604202
beta_loc_76_pop_0,-6.199786,-6.137577,-9.256071,-3.696038
beta_loc_77_pop_0,-3.797857,-3.964377,-4.969695,-2.405380
beta_loc_78_pop_0,0.237913,0.142021,-0.979370,1.791868
beta_loc_79_pop_0,0.225136,-0.143849,-1.174467,2.583208
beta_loc_80_pop_0,-3.714371,-3.787760,-5.547034,-2.200292
beta_loc_81_pop_0,1.415048,1.292886,-1.748671,5.424110
beta_loc_82_pop_0,-2.935578,-2.934567,-5.031944,-1.076555
beta_loc_83_pop_0,-1.357860,-1.490667,-3.634215,0.946813
beta_loc_84_pop_0,2.111758,2.186401,-0.937968,5.069163
beta_loc_85_pop_0,0.273900,0.305595,-0.990267,2.024497
beta_loc_86_pop_0,-0.196361,-0.267250,-1.698957,1.397157
beta_loc_87_pop_0,0.747771,0.874862,-0.689352,2.267146
beta_loc_88_pop_0,3.814139,3.928177,2.229171,5.041287
beta_loc_89_pop_0,-2.653433,-2.983370,-5.572067,0.884516
beta_loc_90_pop_0,0.398104,0.529320,-1.652798,2.228657
beta_loc_91_pop_0,0.541382,0.281181,-1.263501,3.410244
beta_loc_92_pop_0,-3.809031,-3.839526,-5.981382,-1.947286
beta_loc_93_pop_0,1.215603,1.048031,-0.783228,3.640658
beta_loc_94_pop_0,-2.663361,-2.551405,-5.038459,-0.829693
beta_loc_95_pop_0,5.023169,5.135876,2.532402,7.136160
beta_loc_96_pop_0,2.376180,2.511809,0.619663,3.791904
beta_loc_97_pop_0,-0.580892,-0.605318,-0.995254,0.280458
beta_loc_98_pop_0,3.770385,3.806060,2.005947,5.578496
beta_loc_99_pop_0,-3.480277,-3.680777,-6.031994,-1.122632
beta_loc_100_pop_0,0.225591,0.273731,-0.966191,1.403595
beta_loc_101_pop_0,-3.343565,-3.249348,-5.650022,-1.345700
beta_loc_102_pop_0,-0.244896,-0.325605,-0.998550,1.346288
beta_loc_103_pop_0,-0.745653,-0.512648,-4.284664,1.949423
beta_loc_104_pop_0,0.805103,0.805848,-0.654409,2.375970
beta_loc_105_pop_0,-0.279897,-0.342482,-0.992059,1.268351
beta_loc_106_pop_0,1.082209,1.086019,-0.776344,2.399136
beta_loc_107_pop_0,-5.325959,-5.154918,-7.688928,-3.380748
beta_loc_108_pop_0,-2.726426,-2.656355,-4.414546,-1.722854
beta_loc_109_pop_0,1.018991,1.040581,-0.239430,2.710424
beta_loc_110_pop_0,-0.319276,0.041771,-5.130329,1.897385
beta_loc_111_pop_0,1.462487,1.261778,-0.661858,3.561651
beta_loc_112_pop_0,1.662168,1.594965,0.394477,3.294971
beta_loc_113_pop_0,2.373741,2.384924,0.487157,4.005456
beta_loc_114_pop_0,0.818713,0.504079,-0.978580,3.522486
beta_loc_115_pop_0,-2.489788,-2.701988,-4.791003,-0.948976
beta_loc_116_pop_0,0.736661,0.757877,-0.890361,2.811788
