Chromosome	kbp_pos	scaffold	close_Wagner_SNPs	Gene_1	Gene_2	Gene_3		
1	10321.314	CM022157.1	NA					
1	13713.882	CM022157.1	NA					
1	18136.117	CM022157.1	NA	Wwc3				
1	18147.55	CM022157.1	NA					
1	22649.88	CM022157.1	NA					
1	23969.264	CM022157.1	NA					
1	27689.346	CM022157.1	NA	Il18rap				
1	28814.468	CM022157.1	NA					
1	39025.658	CM022157.1	NA					
1	39416.04	CM022157.1	NA	Gpr180				
1	52357.137	CM022157.1	NA					
1	54639.191	CM022157.1	NA					
1	63496.191	CM022157.1	NA					
1	66107.129	CM022157.1	NA					
1	79048.188	CM022157.1	NA					
1	83535.186	CM022157.1	NA	Fam124a				
1	86542.355	CM022157.1	NA	Eno2				
1	86686.585	CM022157.1	NA					
1	86731.507	CM022157.1	NA					
1	86869.089	CM022157.1	NA					
1	87366.039	CM022157.1	NA	Hsd3b				
1	87564.394	CM022157.1	NA					
1	88704.672	CM022157.1	NA	Fstl1				
1	88757.775	CM022157.1	NA	Gpr156				
1	88936.007	CM022157.1	NA					
1	89657.426	CM022157.1	NA	Arhgap31				
1	92037.317	CM022157.1	NA	Cldnd1				
1	92284.214	CM022157.1	NA	Gtpbp8				
1	93070.129	CM022157.1	NA					
1	93848.648	CM022157.1	NA	Tfg				
1	94621.201	CM022157.1	NA					
1	95232.038	CM022157.1	NA					
1	97337.459	CM022157.1	NA					
1	101661.853	CM022157.1	NA					
1	106366.55	CM022157.1	NA					
1	106836.797	CM022157.1	NA					
1	107016.499	CM022157.1	NA					
1	107068.339	CM022157.1	NA					
1	108479.197	CM022157.1	NA	Cd247				
1	109080.12	CM022157.1	NA					
1	109830.754	CM022157.1	NA					
1	110545.305	CM022157.1	NA					
1	111083.02	CM022157.1	NA					
1	111998.064	CM022157.1	NA					
1	112034.121	CM022157.1	NA	Lip2	Kcne3			
1	112123.055	CM022157.1	NA					
1	112128.696	CM022157.1	NA					
1	112154.91	CM022157.1	NA					
1	112165.57	CM022157.1	NA					
1	112394.015	CM022157.1	NA					
