param,mean,median,1.000_CI_LB,1.000_CI_UB
alpha_loc_0_pop_0,0.556040,0.378476,-3.339715,4.105203
alpha_loc_1_pop_0,0.961302,0.724021,-1.251508,4.656065
alpha_loc_2_pop_0,-0.468426,-0.543319,-5.897250,3.962337
alpha_loc_3_pop_0,0.434327,0.416787,-3.572578,4.561389
alpha_loc_4_pop_0,-0.520435,-0.346307,-4.503663,2.309930
alpha_loc_5_pop_0,1.201279,1.446585,-3.195957,5.127757
alpha_loc_6_pop_0,-1.303954,-1.406278,-6.304326,2.707196
alpha_loc_7_pop_0,-0.269120,-0.243348,-3.074511,2.483728
alpha_loc_8_pop_0,-0.551571,-0.677721,-3.118159,2.618972
alpha_loc_9_pop_0,-0.277274,-0.152754,-2.877033,2.072249
alpha_loc_10_pop_0,-0.048024,-0.046864,-2.054524,2.349600
alpha_loc_11_pop_0,0.402666,0.444081,-1.399148,1.892123
alpha_loc_12_pop_0,-0.862285,-0.901655,-3.518271,2.172561
alpha_loc_13_pop_0,-0.717882,-0.803716,-3.080864,2.453987
alpha_loc_14_pop_0,1.750582,1.885098,-4.699757,8.698317
alpha_loc_15_pop_0,0.109773,0.484516,-5.531758,4.066066
alpha_loc_16_pop_0,0.630293,0.815828,-2.931028,3.452304
alpha_loc_17_pop_0,-0.646174,-0.653642,-4.008827,2.664597
alpha_loc_18_pop_0,0.143092,0.419984,-4.345950,3.840369
alpha_loc_19_pop_0,-0.025288,0.171921,-4.319422,4.032645
alpha_loc_20_pop_0,1.894970,2.130863,-2.633681,4.748344
alpha_loc_21_pop_0,0.287087,0.148458,-3.337291,4.237858
alpha_loc_22_pop_0,2.283446,2.336787,0.280597,4.178440
alpha_loc_23_pop_0,2.220301,2.177796,0.070154,5.025257
alpha_loc_24_pop_0,1.059072,1.150009,-2.039817,3.406420
alpha_loc_25_pop_0,0.596265,0.662355,-3.372057,3.522544
alpha_loc_26_pop_0,-0.811294,-1.071770,-4.735842,2.753712
alpha_loc_27_pop_0,-0.729674,0.033695,-5.050479,1.884633
alpha_loc_28_pop_0,0.130682,0.061593,-3.095579,4.402839
alpha_loc_29_pop_0,-1.562122,-1.512782,-4.224575,1.608679
alpha_loc_30_pop_0,-0.997235,-0.987186,-3.687639,2.006396
alpha_loc_31_pop_0,-1.071332,-1.023876,-3.938120,1.724361
alpha_loc_32_pop_0,-0.172471,-0.134974,-4.735522,2.363659
alpha_loc_33_pop_0,-0.153037,-0.337866,-5.425233,4.006336
alpha_loc_34_pop_0,-0.925017,-0.855624,-3.887087,1.072959
alpha_loc_35_pop_0,-0.357508,-0.276016,-2.755241,1.038801
alpha_loc_36_pop_0,-0.882022,-0.959893,-3.566651,2.345587
alpha_loc_37_pop_0,-0.445518,-0.363287,-3.130491,2.466618
alpha_loc_38_pop_0,-0.041972,0.055940,-3.079471,2.885746
alpha_loc_39_pop_0,0.291761,0.237921,-2.548368,3.056839
alpha_loc_40_pop_0,0.522198,0.510762,-2.519005,3.757756
alpha_loc_41_pop_0,0.819429,0.937425,-2.626431,3.154957
alpha_loc_42_pop_0,1.036289,1.263997,-3.459969,3.737497
alpha_loc_43_pop_0,0.300288,0.063072,-2.565297,4.587305
alpha_loc_44_pop_0,-0.092465,-0.161246,-3.089561,3.108577
alpha_loc_45_pop_0,-0.033441,-0.035649,-0.505741,0.460086
alpha_loc_46_pop_0,-0.082835,-0.063271,-3.136399,2.955212
alpha_loc_47_pop_0,-0.524933,-1.121926,-4.468831,4.561812
alpha_loc_48_pop_0,-0.644979,-1.164755,-5.342755,4.646029
alpha_loc_49_pop_0,-0.618754,-0.672649,-4.442837,3.499259
alpha_loc_50_pop_0,-1.352978,-1.259207,-3.831039,1.225624
alpha_loc_51_pop_0,-0.382175,-0.686438,-3.884651,4.637082
alpha_loc_52_pop_0,-0.363195,-0.448318,-4.944708,3.767936
alpha_loc_53_pop_0,0.986951,0.830652,-4.718222,8.386791
alpha_loc_54_pop_0,0.799849,0.567035,-0.727619,3.928314
alpha_loc_55_pop_0,1.435648,1.317912,-1.275149,5.081321
alpha_loc_56_pop_0,-0.223051,-0.295276,-5.179317,5.044885
alpha_loc_57_pop_0,0.152151,0.250148,-4.339312,4.207413
alpha_loc_58_pop_0,0.044814,0.008039,-2.485030,2.420796
alpha_loc_59_pop_0,0.099646,0.000650,-3.076071,2.500368
alpha_loc_60_pop_0,1.032735,0.910151,-1.831494,5.108377
alpha_loc_61_pop_0,0.991445,0.816087,-0.935850,4.381698
alpha_loc_62_pop_0,-0.923537,-0.953456,-5.086775,2.980176
alpha_loc_63_pop_0,1.786741,1.630925,-1.057339,5.646259
alpha_loc_64_pop_0,-1.691684,-1.511506,-5.141372,0.860923
alpha_loc_65_pop_0,1.898421,1.802051,-0.230598,5.612133
alpha_loc_66_pop_0,-1.268916,-1.452162,-4.329411,2.196205
alpha_loc_67_pop_0,-0.178658,-0.165227,-2.218545,1.029387
alpha_loc_68_pop_0,-0.511393,-0.421649,-4.290295,3.456124
alpha_loc_69_pop_0,-0.519291,-0.498138,-1.966328,0.459664
alpha_loc_70_pop_0,-0.869121,-0.938388,-4.010376,1.600693
alpha_loc_71_pop_0,1.435508,1.307496,-0.099716,4.967932
alpha_loc_72_pop_0,0.794211,1.368038,-2.990276,5.710213
alpha_loc_73_pop_0,0.816606,0.759832,-0.731664,2.752391
alpha_loc_74_pop_0,0.641227,0.569383,-4.468962,5.116161
alpha_loc_75_pop_0,0.300804,0.439165,-2.623985,2.802434
alpha_loc_76_pop_0,1.465817,1.827155,-2.401780,2.836781
alpha_loc_77_pop_0,1.500279,1.779233,-2.281764,3.855592
alpha_loc_78_pop_0,1.588352,1.670170,-0.124125,4.065528
alpha_loc_79_pop_0,1.417176,1.315434,-0.959094,4.697042
alpha_loc_80_pop_0,0.982240,0.787709,-2.482989,4.647565
alpha_loc_81_pop_0,-0.561515,-0.420565,-3.524017,1.249304
alpha_loc_82_pop_0,-0.656033,-0.763600,-3.608051,2.960738
alpha_loc_83_pop_0,-0.792144,-0.990629,-3.619931,2.382277
alpha_loc_84_pop_0,1.489781,1.692212,-3.314932,3.881846
alpha_loc_85_pop_0,0.093496,0.224875,-3.337508,1.638241
alpha_loc_86_pop_0,0.812192,0.829762,-2.958590,4.256441
alpha_loc_87_pop_0,2.173365,2.173476,0.476261,4.505348
alpha_loc_88_pop_0,0.302568,0.253482,-1.013930,2.612412
alpha_loc_89_pop_0,1.393428,1.368156,0.115237,2.762220
alpha_loc_90_pop_0,2.009601,2.033959,-2.311531,6.181858
alpha_loc_91_pop_0,0.481337,0.322963,-5.127760,6.120614
alpha_loc_92_pop_0,1.514832,1.512501,0.256040,3.305027
alpha_loc_93_pop_0,0.968749,0.779830,-0.344273,3.058879
alpha_loc_94_pop_0,0.038564,0.051521,-4.455845,3.943577
alpha_loc_95_pop_0,0.364766,0.211752,-1.616601,3.558324
alpha_loc_96_pop_0,1.000619,0.943566,-1.959053,4.504931
alpha_loc_97_pop_0,1.587729,1.581032,0.751055,2.444395
alpha_loc_98_pop_0,0.761175,0.718649,-0.252945,2.676448
alpha_loc_99_pop_0,-0.762040,-0.569352,-4.532428,2.184351
alpha_loc_100_pop_0,0.241961,0.250319,-0.404153,0.849483
alpha_loc_101_pop_0,-0.579715,-0.598402,-4.601817,4.678560
alpha_loc_102_pop_0,1.088515,1.250141,-2.251024,2.126798
alpha_loc_103_pop_0,-0.291288,-0.179214,-2.896184,0.406817
alpha_loc_104_pop_0,0.338693,0.338051,-0.187708,0.957780
alpha_loc_105_pop_0,0.435034,0.268213,-2.821001,2.181556
alpha_loc_106_pop_0,-0.293139,-0.305008,-1.011377,0.726071
alpha_loc_107_pop_0,0.036565,0.031968,-2.949829,2.126748
alpha_loc_108_pop_0,0.099311,0.101321,-0.540943,0.792724
alpha_loc_109_pop_0,0.251178,0.253313,-0.412339,0.909297
alpha_loc_110_pop_0,1.177345,1.219218,-2.704633,3.454327
alpha_loc_111_pop_0,0.247622,0.249959,-0.432645,0.938899
alpha_loc_112_pop_0,-0.266305,0.006763,-3.833735,1.002851
alpha_loc_113_pop_0,0.053062,0.077295,-1.512459,1.008819
alpha_loc_114_pop_0,1.514083,1.618769,-0.367441,2.527938
alpha_loc_115_pop_0,0.246287,0.260661,-0.745736,0.878210
alpha_loc_116_pop_0,-0.339651,-0.430877,-3.666011,2.636046
alpha_loc_117_pop_0,1.963916,1.981296,-2.628252,5.080513
alpha_loc_118_pop_0,-1.854958,-1.743858,-6.346357,0.743483
alpha_loc_119_pop_0,0.002812,0.002796,-0.429899,0.513357
alpha_loc_120_pop_0,2.142361,2.158909,0.823550,2.803583
alpha_loc_121_pop_0,-0.288135,0.192833,-3.877724,2.654920
alpha_loc_122_pop_0,1.300585,1.501320,-0.314416,2.224560
alpha_loc_123_pop_0,-0.710167,-0.498224,-3.905177,1.052265
alpha_loc_124_pop_0,2.371858,2.022919,-0.243081,9.404205
alpha_loc_125_pop_0,2.433259,2.366922,-1.753907,6.311409
alpha_loc_126_pop_0,-0.020999,-0.008058,-1.893396,0.886506
alpha_loc_127_pop_0,1.324776,1.309286,-3.741532,6.830579
alpha_loc_128_pop_0,0.285509,0.282905,-0.324835,0.921221
alpha_loc_129_pop_0,1.538264,1.380897,-0.648466,4.907762
alpha_loc_130_pop_0,0.258944,0.267573,-0.462887,0.823299
alpha_loc_131_pop_0,1.800516,1.774320,0.557933,4.500477
alpha_loc_132_pop_0,0.090296,0.090388,-0.653791,0.777748
alpha_loc_133_pop_0,-0.780568,-0.527065,-3.630358,1.078570
alpha_loc_134_pop_0,0.973866,0.980180,0.109686,1.886001
alpha_loc_135_pop_0,1.005569,1.396587,-3.148806,3.041856
alpha_loc_136_pop_0,0.829151,0.676161,-0.300341,3.633173
alpha_loc_137_pop_0,-0.401588,-0.414755,-1.670967,0.762713
alpha_loc_138_pop_0,0.248039,0.252196,-0.184272,0.691813
alpha_loc_139_pop_0,0.627832,0.624749,0.036188,1.332178
alpha_loc_140_pop_0,-0.162565,-0.154235,-1.249756,0.688213
alpha_loc_141_pop_0,0.273783,0.279294,-0.194471,0.666525
alpha_loc_142_pop_0,1.023958,0.713222,-0.194749,3.430672
alpha_loc_143_pop_0,1.002716,1.168426,-0.733056,2.542133
alpha_loc_144_pop_0,1.285142,1.034403,-0.431731,4.725295
alpha_loc_145_pop_0,1.228539,1.390359,-1.801562,2.074324
alpha_loc_146_pop_0,-0.033230,0.161644,-4.021688,3.256893
alpha_loc_147_pop_0,0.149355,0.158057,-0.868860,1.387327
alpha_loc_148_pop_0,2.228571,2.510332,-3.155205,5.936761
alpha_loc_149_pop_0,0.112859,0.099211,-0.463487,0.709674
alpha_loc_150_pop_0,0.095234,-0.069460,-2.696177,3.143540
alpha_loc_151_pop_0,-1.116076,-1.605464,-3.956760,4.652421
alpha_loc_152_pop_0,0.889029,0.971944,-1.847851,1.904266
alpha_loc_153_pop_0,0.054662,0.048983,-0.536527,0.683359
alpha_loc_154_pop_0,-0.114235,-0.103207,-0.740384,0.522122
alpha_loc_155_pop_0,1.144243,1.445816,-4.955231,4.367725
