chromosome kbp_pos scaffold close_Wagner_SNPs
1 10321.314 CM022157.1 NA
1 13713.882 CM022157.1 NA
1 18136.117 CM022157.1 NA
1 18147.55 CM022157.1 NA
1 22649.88 CM022157.1 NA
1 23969.264 CM022157.1 NA
1 27689.346 CM022157.1 NA
1 28814.468 CM022157.1 NA
1 39025.658 CM022157.1 NA
1 39416.04 CM022157.1 NA
1 52357.137 CM022157.1 NA
1 54639.191 CM022157.1 NA
1 63496.191 CM022157.1 NA
1 66107.129 CM022157.1 NA
1 79048.188 CM022157.1 NA
1 83535.186 CM022157.1 NA
1 86542.355 CM022157.1 NA
1 86686.585 CM022157.1 NA
1 86731.507 CM022157.1 NA
1 86869.089 CM022157.1 NA
1 87366.039 CM022157.1 NA
1 87564.394 CM022157.1 NA
1 88704.672 CM022157.1 NA
1 88757.775 CM022157.1 NA
1 88936.007 CM022157.1 NA
1 89657.426 CM022157.1 NA
1 92037.317 CM022157.1 NA
1 92284.214 CM022157.1 NA
1 93070.129 CM022157.1 NA
1 93848.648 CM022157.1 NA
1 94621.201 CM022157.1 NA
1 95232.038 CM022157.1 NA
1 97337.459 CM022157.1 NA
1 101661.853 CM022157.1 NA
1 106366.55 CM022157.1 NA
1 106836.797 CM022157.1 NA
1 107016.499 CM022157.1 NA
1 107068.339 CM022157.1 NA
1 108479.197 CM022157.1 NA
1 109080.12 CM022157.1 NA
1 109830.754 CM022157.1 NA
1 110545.305 CM022157.1 NA
1 111083.02 CM022157.1 NA
1 111998.064 CM022157.1 NA
1 112034.121 CM022157.1 NA
1 112123.055 CM022157.1 NA
1 112128.696 CM022157.1 NA
1 112154.91 CM022157.1 NA
1 112165.57 CM022157.1 NA
1 112394.015 CM022157.1 NA
1 112410.774 CM022157.1 NA
1 112453.339 CM022157.1 NA
1 112618.143 CM022157.1 NA
1 112670.821 CM022157.1 NA
1 113169.566 CM022157.1 NA
10 6112.317 CM022160.1 NA
10 12516.822 CM022160.1 NA
10 14761.55 CM022160.1 NA
10 19430.117 CM022160.1 NA
10 19450.755 CM022160.1 NA
