scaffold	chrom	bgc_chrom
CM022157.1	1	1
JAAMOC010000001.1	1	2
JAAMOC010000002.1	1	3
JAAMOC010000003.1	1	4
JAAMOC010000004.1	2	5
JAAMOC010000005.1	2	6
JAAMOC010000550.1	2	7
JAAMOC010000551.1	2	8
JAAMOC010000552.1	2	9
JAAMOC010000010.1	3	10
JAAMOC010000011.1	3	11
JAAMOC010000012.1	3	12
JAAMOC010000013.1	3	13
JAAMOC010000014.1	3	14
JAAMOC010000015.1	3	15
JAAMOC010000016.1	3	16
JAAMOC010000565.1	3	17
JAAMOC010000566.1	3	18
JAAMOC010000567.1	3	19
JAAMOC010000568.1	3	20
JAAMOC010000006.1	3	21
JAAMOC010000007.1	3	22
JAAMOC010000008.1	3	23
JAAMOC010000009.1	3	24
JAAMOC010000017.1	4	25
JAAMOC010000018.1	4	26
JAAMOC010000019.1	4	27
JAAMOC010000020.1	4	28
JAAMOC010000021.1	4	29
JAAMOC010000022.1	4	30
JAAMOC010000023.1	4	31
JAAMOC010000024.1	4	32
JAAMOC010000025.1	4	33
JAAMOC010000026.1	4	34
JAAMOC010000569.1	4	35
JAAMOC010000570.1	4	36
CM022158.1	5	37
JAAMOC010000027.1	5	38
JAAMOC010000028.1	6	39
JAAMOC010000029.1	6	40
JAAMOC010000577.1	6	41
JAAMOC010000578.1	6	42
JAAMOC010000030.1	7	43
JAAMOC010000031.1	7	44
JAAMOC010000579.1	7	45
JAAMOC010000580.1	7	46
JAAMOC010000032.1	8	47
JAAMOC010000033.1	8	48
JAAMOC010000581.1	8	49
JAAMOC010000582.1	8	50
CM022159.1	9	51
JAAMOC010000034.1	9	52
CM022160.1	10	53
JAAMOC010000035.1	10	54
JAAMOC010000036.1	10	55
CM022161.1	11	56
JAAMOC010000037.1	11	57
CM022162.1	12	58
CM022163.1	13	59
JAAMOC010000038.1	13	60
JAAMOC010000039.1	13	61
JAAMOC010000040.1	13	62
JAAMOC010000041.1	13	63
JAAMOC010000042.1	13	64
CM022164.1	14	65
JAAMOC010000043.1	14	66
JAAMOC010000044.1	15	67
JAAMOC010000045.1	15	68
JAAMOC010000537.1	15	69
JAAMOC010000538.1	15	70
JAAMOC010000539.1	15	71
JAAMOC010000540.1	15	72
CM022165.1	16	73
JAAMOC010000046.1	16	74
JAAMOC010000047.1	16	75
CM022166.1	17	76
JAAMOC010000048.1	17	77
CM022167.1	18	78
JAAMOC010000049.1	18	79
JAAMOC010000050.1	18	80
JAAMOC010000051.1	19	81
JAAMOC010000544.1	19	82
JAAMOC010000545.1	19	83
JAAMOC010000553.1	20	84
JAAMOC010000554.1	20	85
CM022168.1	21	86
JAAMOC010000052.1	21	87
JAAMOC010000053.1	21	88
JAAMOC010000054.1	21	89
JAAMOC010000055.1	21	90
JAAMOC010000056.1	21	91
CM022169.1	22	92
JAAMOC010000057.1	22	93
JAAMOC010000058.1	22	94
JAAMOC010000059.1	22	95
JAAMOC010000060.1	22	96
JAAMOC010000061.1	22	97
JAAMOC010000557.1	23	98
JAAMOC010000558.1	23	99
JAAMOC010000062.1	23	100
JAAMOC010000063.1	23	101
JAAMOC010000064.1	23	102
JAAMOC010000065.1	23	103
JAAMOC010000066.1	23	104
JAAMOC010000067.1	23	105
JAAMOC010000068.1	23	106
JAAMOC010000069.1	23	107
JAAMOC010000070.1	23	108
CM022170.1	24	109
CM022171.1	25	110
JAAMOC010000071.1	25	111
JAAMOC010000072.1	25	112
JAAMOC010000073.1	25	113
JAAMOC010000074.1	25	114
JAAMOC010000075.1	25	115
JAAMOC010000076.1	25	116
JAAMOC010000077.1	25	117
CM022172.1	26	118
JAAMOC010000078.1	26	119
JAAMOC010000079.1	26	120
JAAMOC010000080.1	26	121
JAAMOC010000081.1	26	122
JAAMOC010000082.1	26	123
JAAMOC010000083.1	26	124
JAAMOC010000084.1	26	125
JAAMOC010000085.1	26	126
JAAMOC010000086.1	26	127
JAAMOC010000087.1	26	128
JAAMOC010000088.1	26	129
JAAMOC010000089.1	26	130
JAAMOC010000090.1	26	131
JAAMOC010000091.1	26	132
JAAMOC010000092.1	26	133
JAAMOC010000093.1	26	134
JAAMOC010000562.1	27	135
JAAMOC010000563.1	27	136
CM022173.1	28	137
JAAMOC010000094.1	28	138
JAAMOC010000095.1	28	139
JAAMOC010000096.1	28	140
JAAMOC010000097.1	28	141
JAAMOC010000098.1	28	142
JAAMOC010000099.1	28	143
CM022174.1	Z	144
JAAMOC010000100.1	Z	145
JAAMOC010000101.1	Z	146
JAAMOC010000102.1	1A	147
JAAMOC010000103.1	1A	148
JAAMOC010000104.1	1A	149
JAAMOC010000546.1	1A	150
JAAMOC010000547.1	1A	151
JAAMOC010000548.1	1A	152
CM022175.1	1B	153
JAAMOC010000105.1	1B	154
JAAMOC010000571.1	4A	155
JAAMOC010000572.1	4A	156
JAAMOC010000573.1	4A	157
JAAMOC010000574.1	4A	158
JAAMOC010000575.1	4A	159
JAAMOC010001000.1	CHR_UNK	160
JAAMOC010001001.1	CHR_UNK	161
JAAMOC010001002.1	CHR_UNK	162
JAAMOC010001003.1	CHR_UNK	163
JAAMOC010001004.1	CHR_UNK	164
JAAMOC010001005.1	CHR_UNK	165
JAAMOC010001006.1	CHR_UNK	166
JAAMOC010001007.1	CHR_UNK	167
JAAMOC010001008.1	CHR_UNK	168
JAAMOC010001009.1	CHR_UNK	169
JAAMOC010001010.1	CHR_UNK	170
JAAMOC010001011.1	CHR_UNK	171
JAAMOC010001012.1	CHR_UNK	172
